x,y
20,14
18,19
18,23
24,22
27,15
x,y
51,13
58,10
64,12
66,19
57,22
x,y
82,25
86,29
86,34
81,38
75,31
x,y
37,30
44,29
49,33
44,40
37,40
x,y
15,39
21,37
25,43
19,48
12,46
x,y
14,66
18,60
26,58
32,64
24,72
x,y
30,86
32,81
38,82
40,86
34,92
x,y
47,64
45,57
53,52
58,57
53,65
x,y
56,83
59,77
64,75
67,80
62,87
x,y
71,66
72,58
78,58
83,63
78,69
x,y
66,47
73,47
70,40
62,39
58,46
x,y
84,87
78,80
73,87
75,92
84,93
x,y
18,87
12,82
7,87
11,94
18,96
x,y
91,55
83,48
84,43
92,44
96,50
x,y
80,8
82,13
90,16
92,9
86,4
