x,y
71,150
70,151
57,151
56,152
43,152
42,153
39,153
38,154
37,154
37,156
36,157
36,189
37,190
37,192
38,193
38,194
39,194
40,195
86,195
86,153
85,152
85,151
83,151
82,150
x,y
70,151
71,150
82,150
83,151
84,151
86,153
86,194
85,195
40,195
37,192
37,190
36,189
36,157
37,156
37,155
39,153
42,153
43,152
56,152
57,151
x,y
71,158
70,159
57,159
56,160
47,160
46,161
45,161
45,162
44,163
44,185
45,186
45,187
78,187
78,159
77,159
76,158
x,y
70,159
71,158
76,158
78,160
78,186
77,187
46,187
44,185
44,163
47,160
56,160
57,159
x,y
11,131
10,132
8,132
7,133
6,133
6,134
5,135
5,137
4,138
4,225
5,226
5,228
6,229
6,230
85,230
85,223
84,223
83,222
14,222
12,220
12,142
15,139
154,139
155,140
156,140
160,144
160,145
162,147
162,148
165,151
174,151
174,149
171,146
171,145
168,142
168,141
166,139
166,138
163,135
163,134
162,133
161,133
160,132
157,132
156,131
x,y
10,132
11,131
156,131
157,132
160,132
164,136
164,137
167,140
167,141
169,143
169,144
172,147
172,148
174,150
173,151
166,151
161,146
161,145
159,143
159,142
157,140
155,140
154,139
15,139
14,140
13,140
13,141
12,142
12,220
13,221
13,222
83,222
85,224
85,229
84,230
7,230
5,228
5,226
4,225
4,138
5,137
5,135
8,132
x,y
76,32
75,33
73,33
73,35
72,36
72,74
73,75
73,77
74,78
74,79
82,79
83,78
85,78
86,77
89,77
90,76
92,76
93,75
96,75
97,74
99,74
100,73
102,73
103,72
106,72
107,71
109,71
110,70
113,70
114,69
116,69
117,68
119,68
120,67
123,67
124,66
126,66
127,65
130,65
131,64
133,64
134,63
136,63
137,62
140,62
141,61
143,61
144,60
146,60
147,59
148,59
148,53
147,53
146,52
145,52
144,51
141,51
140,50
138,50
137,49
134,49
133,48
131,48
130,47
127,47
126,46
124,46
123,45
120,45
119,44
117,44
116,43
113,43
112,42
110,42
109,41
107,41
106,40
103,40
102,39
100,39
99,38
96,38
95,37
93,37
92,36
89,36
88,35
86,35
85,34
82,34
81,33
78,33
77,32
x,y
75,33
76,32
77,32
78,33
81,33
82,34
85,34
86,35
88,35
89,36
92,36
93,37
95,37
96,38
99,38
100,39
102,39
103,40
106,40
107,41
109,41
110,42
112,42
113,43
116,43
117,44
119,44
120,45
123,45
124,46
126,46
127,47
130,47
131,48
133,48
134,49
137,49
138,50
140,50
141,51
144,51
145,52
146,52
148,54
148,58
146,60
144,60
143,61
141,61
140,62
137,62
136,63
134,63
133,64
131,64
130,65
127,65
126,66
124,66
123,67
120,67
119,68
117,68
116,69
114,69
113,70
110,70
109,71
107,71
106,72
103,72
102,73
100,73
99,74
97,74
96,75
93,75
92,76
90,76
89,77
86,77
85,78
83,78
82,79
75,79
73,77
73,75
72,74
72,36
73,35
73,34
74,33
x,y
81,42
81,43
80,44
80,68
81,69
81,70
84,70
85,69
88,69
89,68
91,68
92,67
94,67
95,66
98,66
99,65
101,65
102,64
105,64
106,63
108,63
109,62
111,62
112,61
115,61
116,60
118,60
119,59
122,59
123,58
125,58
126,57
131,57
128,57
127,56
128,55
131,55
126,55
125,54
123,54
122,53
119,53
118,52
116,52
115,51
112,51
111,50
109,50
108,49
105,49
104,48
102,48
101,47
99,47
98,46
95,46
94,45
92,45
91,44
88,44
87,43
85,43
84,42
x,y
82,42
84,42
85,43
87,43
88,44
91,44
92,45
94,45
95,46
98,46
99,47
101,47
102,48
104,48
105,49
108,49
109,50
111,50
112,51
115,51
116,52
118,52
119,53
122,53
123,54
125,54
127,56
125,58
123,58
122,59
119,59
118,60
116,60
115,61
112,61
111,62
109,62
108,63
106,63
105,64
102,64
101,65
99,65
98,66
95,66
94,67
92,67
91,68
89,68
88,69
85,69
84,70
82,70
80,68
80,44
x,y
324,18
323,19
311,19
310,20
300,20
299,21
297,21
296,22
296,23
293,26
293,27
292,28
292,29
293,28
293,27
295,25
295,24
298,21
299,21
300,20
310,20
311,19
323,19
324,18
328,18
330,20
330,79
331,80
331,81
338,81
338,74
341,71
378,71
380,73
380,111
379,112
340,112
338,110
338,101
337,101
336,100
333,100
332,101
331,101
331,102
330,103
330,216
329,217
328,217
327,216
325,216
324,215
322,215
321,214
319,214
318,213
316,213
315,212
313,212
312,211
310,211
309,210
307,210
306,209
304,209
303,208
300,208
299,207
297,207
296,206
294,206
293,205
291,205
290,204
288,204
287,203
285,203
284,202
282,202
281,201
279,201
278,200
276,200
275,199
273,199
272,198
270,198
269,197
268,197
267,196
267,195
268,194
268,193
269,192
269,190
270,189
270,188
271,187
271,186
272,185
272,184
273,183
273,182
274,181
274,179
275,178
275,177
276,176
276,175
277,174
277,173
278,172
278,170
279,169
279,166
278,165
