x,y
17,75
16,76
15,76
15,77
14,78
14,83
15,84
15,85
38,85
38,76
37,76
36,75
x,y
89,56
88,57
87,57
87,58
86,59
86,82
85,83
71,83
70,84
69,84
69,85
68,86
68,87
69,88
69,89
93,89
93,57
92,57
91,56
x,y
53,41
52,42
51,42
51,43
50,44
50,48
49,49
15,49
14,50
13,50
13,51
12,52
12,58
13,59
13,60
48,60
50,62
50,87
51,88
51,89
61,89
61,42
60,42
59,41
x,y
73,29
72,30
71,30
71,31
70,32
70,65
71,66
71,67
81,67
81,30
80,30
79,29
x,y
14,7
13,8
12,8
12,9
11,10
11,33
12,34
12,35
57,35
57,27
56,27
55,26
23,26
21,24
21,18
24,15
58,15
58,8
57,8
56,7
x,y
69,6
68,7
67,7
67,8
66,9
66,15
67,16
67,17
85,17
87,19
87,44
88,45
88,46
93,46
93,7
92,7
91,6
