x,y
31,87
29,89
28,89
28,90
27,91
27,93
28,94
27,95
28,95
29,96
30,96
31,97
34,97
36,95
37,95
37,89
35,89
34,88
32,88
x,y
62,80
61,81
59,81
57,83
56,83
54,85
53,85
53,89
54,90
54,92
55,93
55,94
57,96
68,96
68,95
69,94
69,92
70,91
70,90
71,89
71,85
70,84
69,84
68,83
67,83
65,81
63,81
x,y
42,72
41,73
39,73
37,75
37,77
36,78
36,80
37,81
37,83
40,86
43,86
44,85
45,85
47,83
47,76
43,72
x,y
75,71
73,73
71,73
70,74
70,76
71,77
70,78
70,80
71,81
73,81
75,83
78,83
80,81
82,81
83,80
83,78
82,77
83,76
83,74
82,73
80,73
78,71
x,y
23,67
22,68
22,69
20,71
20,72
18,74
18,77
21,80
21,81
23,83
25,83
26,82
26,81
28,79
28,78
29,77
29,73
27,71
27,70
25,68
25,67
24,68
x,y
56,66
55,67
53,67
51,69
51,74
52,75
53,75
54,76
58,76
59,75
60,75
61,74
61,68
60,68
58,66
x,y
13,55
10,58
8,58
9,59
9,63
8,64
10,64
12,66
14,66
15,67
18,64
19,64
19,58
18,58
15,55
14,56
x,y
84,54
83,55
81,55
80,56
79,56
77,58
77,60
76,61
76,64
77,65
77,67
78,68
79,68
80,69
81,69
82,70
86,70
87,69
88,69
89,68
90,68
92,66
92,58
91,57
90,57
89,56
88,56
86,54
x,y
35,48
34,49
32,49
30,51
29,51
27,53
27,54
28,55
28,57
29,58
29,60
30,61
40,61
40,60
41,59
41,57
42,56
42,52
41,52
39,50
38,50
36,48
x,y
58,41
55,44
54,44
52,46
51,46
50,47
50,51
51,52
51,54
52,55
52,57
53,58
53,59
66,59
67,58
67,55
68,54
68,52
69,51
69,47
68,46
67,46
65,44
64,44
61,41
60,42
59,42
x,y
19,32
17,34
17,35
15,37
15,41
16,42
16,43
18,45
18,46
19,47
20,46
21,47
22,46
22,45
24,43
24,42
25,41
25,37
23,35
23,34
21,32
x,y
59,23
58,24
57,24
57,25
56,26
56,31
57,32
57,33
58,33
59,34
62,34
64,32
64,31
65,30
65,26
62,23
x,y
39,22
36,25
36,26
35,27
36,28
36,30
37,31
37,32
38,32
39,33
43,33
44,32
45,32
46,31
46,28
47,27
46,26
46,25
43,22
x,y
10,20
9,21
9,22
8,23
8,25
7,26
7,29
15,29
14,28
14,25
13,24
13,22
12,21
12,20
11,21
x,y
82,18
81,19
81,20
77,24
77,30
78,31
78,35
79,36
79,37
80,38
88,38
89,37
89,34
90,33
90,29
91,28
91,26
90,25
90,23
85,18
x,y
36,7
34,9
34,15
36,17
40,17
43,14
43,10
42,9
42,8
41,7
x,y
17,7
15,9
15,10
14,11
14,12
15,13
15,15
16,16
22,16
23,15
23,13
24,12
24,11
23,10
23,9
21,7
x,y
57,5
55,7
55,8
52,11
53,12
53,13
52,14
55,17
55,18
57,20
59,20
61,18
61,17
64,14
64,11
61,8
61,7
59,5
