x,y
89,10
88,11
85,11
85,13
88,16
89,16
96,23
97,23
104,30
105,30
112,37
113,37
120,44
121,44
128,51
129,51
137,59
138,59
145,66
145,67
143,69
143,70
141,72
141,73
138,76
138,77
136,79
136,80
133,83
133,84
131,86
131,88
130,89
130,90
132,92
133,92
137,96
138,96
143,101
144,101
148,105
149,105
153,109
154,109
158,113
159,113
163,117
163,118
161,120
161,121
160,122
160,123
159,124
159,125
158,126
157,126
156,125
155,125
152,122
151,122
148,119
147,119
144,116
143,116
141,114
140,114
137,111
136,111
133,108
132,108
129,105
128,105
125,102
124,102
122,100
121,100
117,96
116,97
114,97
114,98
110,102
110,103
107,106
108,107
107,108
109,110
110,110
112,112
113,112
116,115
117,115
119,117
120,117
122,119
123,119
126,122
127,122
129,124
130,124
133,127
134,127
136,129
137,129
139,131
140,131
143,134
144,134
146,136
147,136
150,139
151,139
153,141
154,141
157,144
158,144
160,146
161,145
162,146
163,145
163,144
164,143
164,142
165,141
165,140
167,138
167,137
168,136
168,135
169,134
169,133
170,132
170,131
172,129
172,128
173,127
173,126
174,125
174,124
176,122
176,121
177,120
177,119
178,118
178,117
179,116
179,115
181,113
181,110
182,109
179,106
178,106
173,101
172,101
168,97
167,97
162,92
161,92
157,88
156,88
154,86
154,85
155,84
155,83
159,79
159,78
163,74
163,73
164,72
164,66
163,65
163,60
162,59
162,54
161,53
161,48
160,47
160,44
159,43
159,42
158,42
153,37
152,37
147,32
146,32
141,27
140,27
135,22
134,22
128,16
127,16
122,11
119,11
118,10
100,10
99,11
98,10
x,y
47,5
40,12
40,13
34,19
34,21
36,23
37,23
41,27
42,27
46,31
47,31
50,34
51,34
55,38
56,38
59,41
60,41
64,45
65,45
69,49
70,49
74,53
75,53
78,56
79,56
82,59
82,60
79,63
78,63
73,68
72,68
70,66
69,66
66,63
65,63
61,59
60,59
57,56
56,56
52,52
51,52
48,49
47,49
43,45
42,45
39,42
38,42
34,38
33,38
30,35
29,35
25,31
24,32
22,32
21,33
21,34
18,37
18,38
16,40
16,42
20,46
21,46
26,51
27,51
31,55
32,55
37,60
38,60
42,64
43,64
48,69
49,69
53,73
54,73
59,78
60,78
65,83
66,83
70,87
71,87
75,91
78,91
82,87
82,86
87,81
87,80
91,76
93,76
94,77
95,77
96,78
97,78
99,80
100,80
101,81
102,81
103,82
103,83
102,84
101,84
77,108
76,108
72,104
71,104
68,101
67,101
63,97
62,97
58,93
57,93
53,89
52,89
48,85
47,85
44,82
43,82
39,78
38,78
34,74
33,74
29,70
28,70
24,66
23,66
19,62
18,62
15,59
13,59
13,61
12,62
12,64
13,65
12,66
12,81
13,82
13,84
26,97
27,97
36,106
37,106
38,107
37,108
16,108
15,109
14,109
14,110
13,111
13,120
14,121
14,122
52,122
53,123
54,123
57,126
58,126
60,128
59,129
16,129
15,130
14,130
14,131
13,132
13,141
14,142
14,143
77,143
77,137
78,136
78,134
81,131
81,130
86,125
88,127
89,127
92,130
93,130
96,133
97,133
100,136
101,136
104,139
105,139
107,141
108,141
112,145
113,145
116,148
117,148
121,152
122,152
125,155
126,155
130,159
131,159
135,163
136,163
139,166
140,166
144,170
145,170
149,174
150,174
154,178
155,178
158,181
159,181
163,185
162,186
149,186
147,184
146,184
142,180
141,180
137,176
136,176
131,171
130,171
126,167
125,167
121,163
120,163
115,158
114,158
110,154
109,154
107,152
106,152
102,148
101,148
98,145
97,145
94,142
89,142
85,146
84,146
81,149
17,149
16,150
15,150
15,151
14,152
14,163
15,164
15,165
79,165
81,167
81,175
80,176
11,176
10,177
9,177
9,178
8,179
8,190
9,191
9,192
111,192
113,194
113,195
114,196
114,197
185,197
185,196
188,193
190,193
190,183
189,183
188,182
177,182
175,180
175,177
178,174
188,174
188,145
187,145
186,144
185,144
184,145
182,145
178,149
178,150
175,153
175,154
172,157
172,158
168,162
168,163
164,167
159,162
158,162
154,158
153,158
149,154
148,154
144,150
143,150
139,146
138,146
134,142
133,142
129,138
128,138
124,134
123,134
119,130
118,130
114,126
113,126
109,122
108,122
104,118
103,118
99,114
98,114
96,112
98,110
98,109
102,105
102,104
106,100
106,99
110,95
110,94
114,90
114,89
118,85
118,84
122,80
122,79
126,75
126,74
129,71
129,69
126,66
125,66
121,62
120,62
116,58
115,58
111,54
110,54
106,50
105,50
101,46
100,46
96,42
95,42
91,38
90,38
86,34
85,34
81,30
80,30
76,26
75,26
71,22
70,22
66,18
65,18
61,14
60,14
56,10
55,10
51,6
50,6
49,5
