ASP_path_turn,Astar_path_turn,RRTStar_path_turn
26,22,27
54,33,49
16,4,16
2,3,0
2,9,22
38,35,59
5,24,0
26,10,0
25,8,105
7,15,85
20,6,0
27,18,0
36,21,112
17,17,0
4,5,0
2,5,25
26,37,0
2,1,0
3,4,9
48,8,0
28,20,0
38,31,38
0,1,0
1,5,0
3,1,0
3,5,0
13,19,0
2,2,0
2,10,0
2,12,0
3,0,0
15,1,0
16,22,0
5,1,3
51,21,0
2,0,0
43,7,0
19,11,0
6,2,0
51,26,0
41,30,44
63,44,0
5,0,0
4,4,11
56,16,75
19,12,45
8,0,1
50,15,10
54,18,0
54,8,0
5,0,29
10,15,31
46,60,50
22,8,0
19,4,0
78,57,49
55,5,34
54,3,27
86,9,33
92,11,0
61,11,0
40,2,55
49,20,37
38,19,23
37,51,33
3,3,8
14,9,12
0,7,6
3,5,13
23,15,26
2,15,7
19,5,23
19,3,28
18,11,28
18,1,25
3,5,2
26,2,43
13,12,12
23,6,24
1,9,36
