start,goal,range,ASP_improve_path_cost,Astar_path_cost,RRTStar_path_cost
"(0, 0)","(70, 30)",20,28.650109320694117,30.384776310850242,35.062599097684284
"(0, 0)","(70, 30)",20,31.947799187679493,34.21320343559643,34.81668705480275
"(0, 0)","(70, 30)",20,5.896440339592412,6.242640687119285,5.896492457702648
"(0, 0)","(70, 30)",20,36.39101509512358,8.65685424949238,8.435542362932667
"(0, 0)","(70, 30)",20,30.43743937192216,31.656854249492383,31.935261860959102
"(0, 0)","(70, 30)",20,55.03677675375266,59.38477631085024,-10
"(0, 0)","(70, 30)",20,14.848697214632555,14.313708498984763,23.4230104354385
"(0, 0)","(70, 30)",20,44.69096963392127,17.899494936611667,-10
"(0, 0)","(70, 30)",20,35.502696847757946,37.48528137423857,40.70955357496076
"(0, 0)","(70, 30)",20,90.94910490276511,74.65685424949238,80.17533082436555
"(0, 0)","(70, 30)",20,63.69802457228831,63.41421356237309,67.57320972962863
