start,goal,range,ASP_improve_time,Astar_time,RRTStar_time
"(0, 0)","(70, 30)",20,0.002122163772583008,0.0025153160095214844,0.0005085468292236328
"(0, 0)","(70, 30)",20,0.002902984619140625,0.008363008499145508,0.0008759498596191406
"(0, 0)","(70, 30)",20,0.008486270904541016,0.0002391338348388672,8.702278137207031e-05
"(0, 0)","(70, 30)",20,0.0002684593200683594,0.000545501708984375,0.0002353191375732422
"(0, 0)","(70, 30)",20,0.0008075237274169922,0.005445957183837891,0.0013012886047363281
"(0, 0)","(70, 30)",20,0.07584095001220703,0.03440284729003906,-10
"(0, 0)","(70, 30)",20,0.030577659606933594,0.0011200904846191406,0.0006349086761474609
"(0, 0)","(70, 30)",20,0.0010116100311279297,0.0024421215057373047,-10
"(0, 0)","(70, 30)",20,0.0006411075592041016,0.007610797882080078,0.00174713134765625
"(0, 0)","(70, 30)",20,0.001672506332397461,0.02670454978942871,0.0019207000732421875
"(0, 0)","(70, 30)",20,0.09276437759399414,0.006111860275268555,0.0037202835083007812
