start,goal,range,ASP_improve_path_cost,Astar_path_cost,RRTStar_path_cost
"(0, 0)","(100, 140)",20,66.7010036268658,62.21320343559641,92.8471981738276
"(0, 0)","(100, 140)",20,95.24757330497278,89.76955262170044,113.15973140584951
"(0, 0)","(100, 140)",20,37.07873239949764,39.14213562373095,43.48471789736311
"(0, 0)","(100, 140)",20,62.88737707160995,59.72792206135786,64.469539150635
"(0, 0)","(100, 80)",20,71.87127923652447,68.98275605729684,92.43283839340852
"(0, 0)","(100, 80)",20,39.10318717356992,39.76955262170047,45.3439465622463
"(0, 0)","(100, 80)",20,40.375949557306406,43.4558441227157,51.72300296200232
"(0, 0)","(100, 80)",20,40.82597063312585,28.55634918610405,35.75729186548247
"(0, 0)","(100, 80)",20,34.857444036106685,27.798989873223334,40.564863263274205
"(0, 0)","(100, 80)",20,30.43944984016432,16.82842712474619,18.53955366026764
"(0, 0)","(100, 80)",20,38.12316117589801,5.242640687119286,4.479419453670749
"(0, 0)","(100, 80)",20,64.80946381945213,31.727922061357862,80.10760305660482
"(0, 0)","(100, 80)",20,80.66212851094915,35.21320343559643,94.43598404388086
"(0, 0)","(100, 80)",20,38.6325153121184,7.414213562373095,15.90227067342542
"(0, 0)","(100, 80)",20,103.41196806487714,43.6274169979695,122.37843207447388
"(0, 0)","(120, 120)",20,69.48896693852198,63.28427124746189,86.37347351165192
"(0, 0)","(120, 120)",20,138.42799898793314,115.254833995939,178.37455925665893
"(0, 0)","(120, 120)",20,62.8333596151736,61.15432893255067,84.85885626591748
"(0, 0)","(120, 120)",20,37.890189871000864,36.65685424949238,45.256063164684726
"(0, 0)","(120, 120)",20,59.3341113297095,60.38477631085024,79.09866143820462
"(0, 0)","(120, 120)",20,193.70619024340263,183.95331880577413,212.30850337138952
"(0, 0)","(120, 120)",20,32.80371492690854,31.242640687119287,34.492675409586745
"(0, 0)","(120, 120)",20,119.22887033498688,104.8528137423856,129.76716442932954
"(0, 0)","(120, 120)",20,35.96478430055426,33.0,44.01148151949706
"(0, 0)","(120, 120)",20,27.55382058313492,25.82842712474619,39.17676621995431
"(0, 0)","(120, 120)",20,42.880893847752624,45.07106781186548,54.267872565579886
"(0, 0)","(120, 160)",20,68.10968517866402,67.7989898732233,76.75692581944658
"(0, 0)","(120, 160)",20,109.6668280995102,102.4264068711928,116.52321344830834
"(0, 0)","(120, 160)",20,24.99145260089862,27.07106781186548,28.96601841927216
"(0, 0)","(120, 160)",20,55.96166473638817,58.72792206135786,72.88364136746372
