start,goal,range,ASP_improve_path_turn,Astar_path_turn,RRTStar_path_turn
"(0, 0)","(100, 140)",20,18,11,26
"(0, 0)","(100, 140)",20,31,39,33
"(0, 0)","(100, 140)",20,2,11,12
"(0, 0)","(100, 140)",20,4,17,18
"(0, 0)","(100, 80)",20,27,12,27
"(0, 0)","(100, 80)",20,16,4,12
"(0, 0)","(100, 80)",20,0,20,13
"(0, 0)","(100, 80)",20,3,3,9
"(0, 0)","(100, 80)",20,5,4,10
"(0, 0)","(100, 80)",20,2,3,4
"(0, 0)","(100, 80)",20,10,2,0
"(0, 0)","(100, 80)",20,12,4,20
"(0, 0)","(100, 80)",20,24,16,25
"(0, 0)","(100, 80)",20,13,1,3
"(0, 0)","(100, 80)",20,27,12,34
"(0, 0)","(120, 120)",20,15,21,25
"(0, 0)","(120, 120)",20,45,43,52
"(0, 0)","(120, 120)",20,15,4,23
"(0, 0)","(120, 120)",20,3,3,12
"(0, 0)","(120, 120)",20,4,21,21
"(0, 0)","(120, 120)",20,18,16,59
"(0, 0)","(120, 120)",20,5,4,8
"(0, 0)","(120, 120)",20,16,4,36
"(0, 0)","(120, 120)",20,2,0,11
"(0, 0)","(120, 120)",20,1,3,9
"(0, 0)","(120, 120)",20,0,9,14
"(0, 0)","(120, 160)",20,8,9,21
"(0, 0)","(120, 160)",20,39,47,32
"(0, 0)","(120, 160)",20,0,7,7
"(0, 0)","(120, 160)",20,3,17,21
"(0, 0)","(120, 60)",20,16,11,35
"(0, 0)","(140, 100)",20,18,26,28
"(0, 0)","(140, 100)",20,0,13,27
"(0, 0)","(140, 100)",20,14,12,25
"(0, 0)","(140, 100)",20,3,12,5
"(0, 0)","(140, 100)",20,2,13,9
"(0, 0)","(140, 100)",20,3,13,12
"(0, 0)","(140, 100)",20,2,4,2
"(0, 0)","(140, 100)",20,6,13,16
"(0, 0)","(140, 100)",20,15,5,17
"(0, 0)","(140, 100)",20,12,3,11
"(0, 0)","(140, 100)",20,5,25,27
"(0, 0)","(140, 140)",20,13,13,23
"(0, 0)","(140, 140)",20,27,39,33
"(0, 0)","(140, 140)",20,2,14,15
"(0, 0)","(140, 140)",20,17,27,56
"(0, 0)","(140, 140)",20,5,17,25
"(0, 0)","(140, 140)",20,32,0,16
"(0, 0)","(140, 140)",20,0,3,20
"(0, 0)","(140, 140)",20,1,9,5
"(0, 0)","(140, 140)",20,6,1,16
"(0, 0)","(140, 140)",20,0,7,14
"(0, 0)","(140, 140)",20,0,1,4
"(0, 0)","(160, 120)",20,43,2,15
"(0, 0)","(160, 120)",20,3,4,2
"(0, 0)","(160, 120)",20,0,4,10
"(0, 0)","(160, 120)",20,0,3,3
"(0, 0)","(160, 120)",20,3,18,8
"(0, 0)","(160, 120)",20,15,28,37
"(0, 0)","(160, 120)",20,4,4,14
"(0, 0)","(160, 120)",20,2,13,16
"(0, 0)","(160, 120)",20,7,1,8
"(0, 0)","(160, 120)",20,22,19,55
"(0, 0)","(160, 120)",20,13,26,37
"(0, 0)","(160, 160)",20,2,21,21
"(0, 0)","(160, 160)",20,15,43,35
"(0, 0)","(160, 160)",20,11,3,26
"(0, 0)","(160, 160)",20,35,27,60
"(0, 0)","(160, 160)",20,2,25,29
"(0, 0)","(160, 160)",20,2,3,5
"(0, 0)","(160, 160)",20,2,5,11
"(0, 0)","(160, 160)",20,1,10,8
"(0, 0)","(160, 80)",20,19,4,21
"(0, 0)","(160, 80)",20,0,11,6
"(0, 0)","(160, 80)",20,6,4,18
"(0, 0)","(180, 100)",20,18,29,25
"(0, 0)","(180, 100)",20,6,20,13
"(0, 0)","(180, 100)",20,19,37,46
"(0, 0)","(180, 120)",20,0,0,3
"(0, 0)","(180, 120)",20,28,26,28
"(0, 0)","(180, 120)",20,2,14,18
"(0, 0)","(180, 120)",20,68,61,38
"(0, 0)","(180, 140)",20,33,25,17
"(0, 0)","(180, 140)",20,7,0,0
"(0, 0)","(180, 140)",20,11,27,38
"(0, 0)","(180, 140)",20,1,0,12
"(0, 0)","(180, 140)",20,3,11,21
"(0, 0)","(180, 140)",20,2,15,26
"(0, 0)","(180, 140)",20,6,7,32
"(0, 0)","(180, 180)",20,13,10,25
"(0, 0)","(180, 180)",20,24,42,46
"(0, 0)","(180, 180)",20,0,1,10
"(0, 0)","(180, 180)",20,23,11,14
"(0, 0)","(180, 40)",20,2,15,12
"(0, 0)","(180, 40)",20,8,31,38
"(0, 0)","(180, 60)",20,17,4,16
"(0, 0)","(180, 80)",20,14,23,27
"(0, 0)","(180, 80)",20,3,18,13
"(0, 0)","(180, 80)",20,0,2,2
"(0, 0)","(20, 100)",20,18,24,28
"(0, 0)","(60, 80)",20,12,11,31
"(0, 0)","(80, 100)",20,33,7,37
"(0, 0)","(80, 140)",20,2,4,2
"(0, 0)","(80, 140)",20,4,12,5
