start,goal,range,ASP_improve_time,Astar_time,RRTStar_time
"(0, 0)","(100, 140)",20,0.1294918060302734,0.0265889167785644,0.0014004707336425
"(0, 0)","(100, 140)",20,0.2248013019561767,0.0850918292999267,0.001338243484497
"(0, 0)","(100, 140)",20,0.0004613399505615,0.0075976848602294,0.0005192756652832
"(0, 0)","(100, 140)",20,0.0079936981201171,0.0240857601165771,0.0006356239318847
"(0, 0)","(100, 80)",20,0.2137541770935058,0.0402469635009765,0.0013999938964843
"(0, 0)","(100, 80)",20,0.0953948497772216,0.005197525024414,0.0011086463928222
"(0, 0)","(100, 80)",20,0.0401866436004638,0.0141897201538085,0.0018308162689208
"(0, 0)","(100, 80)",20,0.0827867984771728,0.0037863254547119,0.0003623962402343
"(0, 0)","(100, 80)",20,0.0034825801849365,0.0022289752960205,0.0006771087646484
"(0, 0)","(100, 80)",20,0.0077710151672363,0.0012028217315673,0.0003182888031005
"(0, 0)","(100, 80)",20,0.0009193420410156,0.000349998474121,0.0001387596130371
"(0, 0)","(100, 80)",20,0.1677782535552978,0.0046398639678955,0.0009894371032714
"(0, 0)","(100, 80)",20,0.1576755046844482,0.0088129043579101,0.0014281272888183
"(0, 0)","(100, 80)",20,0.0009381771087646,0.0008034706115722,0.0003697872161865
"(0, 0)","(100, 80)",20,0.2386715412139892,0.0184557437896728,0.0016450881958007
"(0, 0)","(120, 120)",20,0.1277685165405273,0.0283362865447998,0.00071382522583
"(0, 0)","(120, 120)",20,0.3902983665466308,0.1028158664703369,0.0030486583709716
"(0, 0)","(120, 120)",20,0.1103010177612304,0.0192282199859619,0.0021216869354248
"(0, 0)","(120, 120)",20,0.0414841175079345,0.0055024623870849,0.0007288455963134
"(0, 0)","(120, 120)",20,0.0112953186035156,0.0171370506286621,0.0010552406311035
"(0, 0)","(120, 120)",20,0.2341117858886718,0.341367244720459,0.0013556480407714
"(0, 0)","(120, 120)",20,0.0415277481079101,0.0043067932128906,0.0016131401062011
"(0, 0)","(120, 120)",20,0.1391210556030273,0.1284995079040527,0.0032029151916503
"(0, 0)","(120, 120)",20,0.0005333423614501,0.0008432865142822,0.00181245803833
"(0, 0)","(120, 120)",20,0.0002682209014892,0.0021860599517822,0.0018560886383056
"(0, 0)","(120, 120)",20,0.000598669052124,0.0105042457580566,0.0028715133666992
"(0, 0)","(120, 160)",20,0.1058795452117919,0.0269973278045654,0.0008888244628906
"(0, 0)","(120, 160)",20,0.0028891563415527,0.1184847354888916,0.0012180805206298
"(0, 0)","(120, 160)",20,0.0031449794769287,0.004007339477539,0.000342845916748
"(0, 0)","(120, 160)",20,0.0257105827331542,0.0232572555541992,0.0007429122924804
"(0, 0)","(120, 60)",20,0.1252822875976562,0.1202411651611328,0.0022075176239013
"(0, 0)","(140, 100)",20,0.167581558227539,0.059028148651123,0.0010371208190917
"(0, 0)","(140, 100)",20,0.0003004074096679,0.0143160820007324,0.0016846656799316
"(0, 0)","(140, 100)",20,0.1116197109222412,0.0976688861846923,0.0010666847229003
"(0, 0)","(140, 100)",20,0.0056555271148681,0.0027832984924316,0.00032639503479
"(0, 0)","(140, 100)",20,0.0002830028533935,0.0056242942810058,0.0011894702911376
"(0, 0)","(140, 100)",20,0.0017082691192626,0.0086922645568847,0.0009129047393798
"(0, 0)","(140, 100)",20,0.0003697872161865,0.0004045963287353,0.0002496242523193
"(0, 0)","(140, 100)",20,0.0384964942932128,0.0298271179199218,0.002298355102539
"(0, 0)","(140, 100)",20,0.1030926704406738,0.0342204570770263,0.0011930465698242
"(0, 0)","(140, 100)",20,0.0656704902648925,0.0032341480255126,0.0021884441375732
"(0, 0)","(140, 100)",20,0.0009753704071044,0.0574049949645996,0.0033917427062988
"(0, 0)","(140, 140)",20,0.1237010955810546,0.0198762416839599,0.0010700225830078
"(0, 0)","(140, 140)",20,0.2367317676544189,0.0969893932342529,0.0013597011566162
"(0, 0)","(140, 140)",20,0.0008041858673095,0.0038182735443115,0.0009524822235107
"(0, 0)","(140, 140)",20,0.293250560760498,0.2024741172790527,0.0021674633026123
"(0, 0)","(140, 140)",20,0.0070388317108154,0.0815269947052002,0.0013961791992187
"(0, 0)","(140, 140)",20,0.0029091835021972,0.0021326541900634,0.0026795864105224
"(0, 0)","(140, 140)",20,0.0012073516845703,0.0160136222839355,0.005505084991455
"(0, 0)","(140, 140)",20,0.0005526542663574,0.0041325092315673,0.0011906623840332
"(0, 0)","(140, 140)",20,0.1071791648864746,0.034416913986206,0.0110907554626464
"(0, 0)","(140, 140)",20,0.0014975070953369,0.0077123641967773,0.0029604434967041
"(0, 0)","(140, 140)",20,0.0005130767822265,0.0007493495941162,0.0008928775787353
"(0, 0)","(160, 120)",20,0.2458119392395019,0.0013375282287597,0.0009267330169677
"(0, 0)","(160, 120)",20,0.0019848346710205,0.0006194114685058,0.0002667903900146
"(0, 0)","(160, 120)",20,0.0002861022949218,0.0034286975860595,0.0011355876922607
"(0, 0)","(160, 120)",20,0.0053818225860595,0.0005781650543212,0.0001368522644042
"(0, 0)","(160, 120)",20,0.0173237323760986,0.0062983036041259,0.0005006790161132
"(0, 0)","(160, 120)",20,0.2263357639312744,0.0881645679473877,0.0024480819702148
"(0, 0)","(160, 120)",20,0.0566840171813964,0.0031912326812744,0.0009863376617431
"(0, 0)","(160, 120)",20,0.0004794597625732,0.0160984992980957,0.0005760192871093
"(0, 0)","(160, 120)",20,0.0423684120178222,0.0014998912811279,0.0014219284057617
"(0, 0)","(160, 120)",20,0.2161037921905517,0.1525025367736816,0.001842975616455
"(0, 0)","(160, 120)",20,0.1208281517028808,0.1387529373168945,0.0017201900482177
"(0, 0)","(160, 160)",20,0.1619808673858642,0.031541109085083,0.0010488033294677
"(0, 0)","(160, 160)",20,0.2337222099304199,0.1202600002288818,0.0010373592376708
"(0, 0)","(160, 160)",20,0.0083255767822265,0.0092945098876953,0.0011060237884521
"(0, 0)","(160, 160)",20,0.2845883369445801,0.1374547481536865,0.0029733180999755
"(0, 0)","(160, 160)",20,0.0738389492034912,0.0373957157135009,0.0013689994812011
"(0, 0)","(160, 160)",20,0.000472068786621,0.0013160705566406,0.0004012584686279
"(0, 0)","(160, 160)",20,0.000256061553955,0.0066790580749511,0.0019376277923583
"(0, 0)","(160, 160)",20,0.0006592273712158,0.0024604797363281,0.0005552768707275
"(0, 0)","(160, 80)",20,0.1376583576202392,0.0598425865173339,0.000943899154663
"(0, 0)","(160, 80)",20,0.031825304031372,0.0046813488006591,0.0007743835449218
"(0, 0)","(160, 80)",20,0.1014614105224609,0.0259883403778076,0.0005545616149902
"(0, 0)","(180, 100)",20,0.1342628002166748,0.0374727249145507,0.0010862350463867
"(0, 0)","(180, 100)",20,0.0967175960540771,0.0169618129730224,0.000554084777832
"(0, 0)","(180, 100)",20,0.2645390033721924,0.076880931854248,0.0028104782104492
"(0, 0)","(180, 120)",20,0.0025122165679931,0.0002603530883789,0.0001919269561767
"(0, 0)","(180, 120)",20,0.0019299983978271,0.0470154285430908,0.0012593269348144
"(0, 0)","(180, 120)",20,0.1190779209136962,0.0076785087585449,0.0008306503295898
"(0, 0)","(180, 120)",20,0.4093124866485595,0.5552310943603516,0.0018954277038574
"(0, 0)","(180, 140)",20,0.0019311904907226,0.0179595947265625,0.0008559226989746
"(0, 0)","(180, 140)",20,0.0005037784576416,0.0001053810119628,7.271766662597656e-05
"(0, 0)","(180, 140)",20,0.1865479946136474,0.1100668907165527,0.0012791156768798
"(0, 0)","(180, 140)",20,0.0002734661102294,0.0006909370422363,0.0005598068237304
"(0, 0)","(180, 140)",20,0.0028152465820312,0.0126330852508544,0.0014026165008544
"(0, 0)","(180, 140)",20,0.010913610458374,0.0672130584716796,0.0006508827209472
"(0, 0)","(180, 140)",20,0.0552704334259033,0.1771783828735351,0.0033435821533203
"(0, 0)","(180, 180)",20,0.1898281574249267,0.1102993488311767,0.0013072490692138
"(0, 0)","(180, 180)",20,0.35597825050354,0.1998400688171386,0.0040619373321533
"(0, 0)","(180, 180)",20,0.000262975692749,0.0003077983856201,0.0007164478302001
"(0, 0)","(180, 180)",20,0.1553940773010254,0.0088605880737304,0.0009973049163818
"(0, 0)","(180, 40)",20,0.0067763328552246,0.0091078281402587,0.0007655620574951
"(0, 0)","(180, 40)",20,0.180375337600708,0.1245100498199462,0.0080316066741943
"(0, 0)","(180, 60)",20,0.0966577529907226,0.0165600776672363,0.0005455017089843
"(0, 0)","(180, 80)",20,0.0893588066101074,0.0177323818206787,0.0012524127960205
"(0, 0)","(180, 80)",20,0.0496745109558105,0.0161027908325195,0.000354528427124
"(0, 0)","(180, 80)",20,0.000521183013916,0.0003726482391357,0.0002310276031494
"(0, 0)","(20, 100)",20,0.1322243213653564,0.0554828643798828,0.0013000965118408
"(0, 0)","(60, 80)",20,0.1054410934448242,0.0201005935668945,0.0014307498931884
"(0, 0)","(80, 100)",20,0.0726041793823242,0.0231714248657226,0.0016577243804931
"(0, 0)","(80, 140)",20,0.0002877712249755,0.0002164840698242,0.000190258026123
"(0, 0)","(80, 140)",20,0.0004189014434814,0.001927375793457,0.0007786750793457
