start,goal,range,ASP_improve_path_cost,Astar_path_cost,RRTStar_path_cost,ASP_improve_path_turn,Astar_path_turn,RRTStar_path_turn,ASP_improve_time,Astar_time,RRTStar_time
"(0, 0)","(100, 140)",20,66.7010036268658,62.21320343559641,92.8471981738276,18,11,26,0.1294918060302734,0.0265889167785644,0.0014004707336425
"(0, 0)","(100, 140)",20,95.24757330497278,89.76955262170044,113.15973140584951,31,39,33,0.2248013019561767,0.0850918292999267,0.001338243484497
"(0, 0)","(100, 140)",20,37.07873239949764,39.14213562373095,43.48471789736311,2,11,12,0.0004613399505615,0.0075976848602294,0.0005192756652832
"(0, 0)","(100, 140)",20,62.88737707160995,59.72792206135786,64.469539150635,4,17,18,0.0079936981201171,0.0240857601165771,0.0006356239318847
"(0, 0)","(100, 80)",20,71.87127923652447,68.98275605729684,92.43283839340852,27,12,27,0.2137541770935058,0.0402469635009765,0.0013999938964843
"(0, 0)","(100, 80)",20,39.10318717356992,39.76955262170047,45.3439465622463,16,4,12,0.0953948497772216,0.005197525024414,0.0011086463928222
"(0, 0)","(100, 80)",20,40.375949557306406,43.4558441227157,51.72300296200232,0,20,13,0.0401866436004638,0.0141897201538085,0.0018308162689208
"(0, 0)","(100, 80)",20,40.82597063312585,28.55634918610405,35.75729186548247,3,3,9,0.0827867984771728,0.0037863254547119,0.0003623962402343
"(0, 0)","(100, 80)",20,34.857444036106685,27.79898987322333,40.564863263274205,5,4,10,0.0034825801849365,0.0022289752960205,0.0006771087646484
"(0, 0)","(100, 80)",20,30.43944984016432,16.82842712474619,18.53955366026764,2,3,4,0.0077710151672363,0.0012028217315673,0.0003182888031005
"(0, 0)","(100, 80)",20,38.12316117589801,5.242640687119286,4.479419453670749,10,2,0,0.0009193420410156,0.000349998474121,0.0001387596130371
"(0, 0)","(100, 80)",20,64.80946381945213,31.727922061357862,80.10760305660482,12,4,20,0.1677782535552978,0.0046398639678955,0.0009894371032714
"(0, 0)","(100, 80)",20,80.66212851094915,35.21320343559643,94.43598404388086,24,16,25,0.1576755046844482,0.0088129043579101,0.0014281272888183
"(0, 0)","(100, 80)",20,38.6325153121184,7.414213562373095,15.90227067342542,13,1,3,0.0009381771087646,0.0008034706115722,0.0003697872161865
"(0, 0)","(100, 80)",20,103.41196806487714,43.6274169979695,122.37843207447388,27,12,34,0.2386715412139892,0.0184557437896728,0.0016450881958007
"(0, 0)","(120, 120)",20,69.48896693852198,63.28427124746189,86.37347351165192,15,21,25,0.1277685165405273,0.0283362865447998,0.00071382522583
"(0, 0)","(120, 120)",20,138.42799898793314,115.254833995939,178.37455925665893,45,43,52,0.3902983665466308,0.1028158664703369,0.0030486583709716
"(0, 0)","(120, 120)",20,62.8333596151736,61.15432893255067,84.85885626591748,15,4,23,0.1103010177612304,0.0192282199859619,0.0021216869354248
"(0, 0)","(120, 120)",20,37.890189871000864,36.65685424949238,45.256063164684726,3,3,12,0.0414841175079345,0.0055024623870849,0.0007288455963134
"(0, 0)","(120, 120)",20,59.3341113297095,60.38477631085024,79.09866143820462,4,21,21,0.0112953186035156,0.0171370506286621,0.0010552406311035
"(0, 0)","(120, 120)",20,193.70619024340263,183.95331880577413,212.30850337138952,18,16,59,0.2341117858886718,0.341367244720459,0.0013556480407714
"(0, 0)","(120, 120)",20,32.80371492690854,31.242640687119287,34.492675409586745,5,4,8,0.0415277481079101,0.0043067932128906,0.0016131401062011
"(0, 0)","(120, 120)",20,119.22887033498688,104.8528137423856,129.76716442932954,16,4,36,0.1391210556030273,0.1284995079040527,0.0032029151916503
"(0, 0)","(120, 120)",20,35.96478430055426,33.0,44.01148151949706,2,0,11,0.0005333423614501,0.0008432865142822,0.00181245803833
"(0, 0)","(120, 120)",20,27.55382058313492,25.82842712474619,39.17676621995431,1,3,9,0.0002682209014892,0.0021860599517822,0.0018560886383056
"(0, 0)","(120, 120)",20,42.880893847752624,45.07106781186548,54.267872565579886,0,9,14,0.000598669052124,0.0105042457580566,0.0028715133666992
"(0, 0)","(120, 160)",20,68.10968517866402,67.7989898732233,76.75692581944658,8,9,21,0.1058795452117919,0.0269973278045654,0.0008888244628906
