Goal $g$,[our]Path cost,[A*]Path cost,[RRT*]Path cost,[our]Number path turns,[A*]Number path turns,[RRT*]Number path turns,[our]Computational time,[A*]Computational time,[RRT*]Computational time
"(100, 140)",65.47867160073653,62.71320343559641,78.49029665691882,13.75,19.5,22.25,0.09068703651428217,0.0358410477638244,0.0009734034538268501
"(100, 80)",53.0102288509175,31.692483248200247,54.6968369098852,12.636363636363637,7.363636363636363,14.272727272727273,0.09175989844582294,0.0090831193056973,0.0009334954348476817
"(120, 120)",74.55571827082535,69.15303026438045,89.81691610476861,11.272727272727273,11.636363636363637,24.545454545454547,0.09975528717041011,0.06006609309803354,0.0018527291037819004
"(120, 160)",64.68240765386525,64.00609665440986,73.78244976362271,12.5,20.0,20.25,0.03440606594085688,0.0431866645812988,0.0007981657981871999
"(120, 60)",79.70078405940474,69.49747468305827,122.30966428747612,16.0,11.0,35.0,0.1252822875976562,0.1202411651611328,0.0022075176239013
"(140, 100)",52.175859294418004,47.006650895719865,59.835828334238016,7.2727272727272725,12.636363636363637,16.272727272727273,0.04506848075173111,0.028473117134787763,0.0014125867323441363
"(140, 140)",70.27076666027857,60.42510820302261,74.03512764675489,9.363636363636363,11.909090909090908,20.636363636363637,0.07048957998102358,0.042712948539040264,0.0028422962535511005
"(160, 120)",63.582293516212914,56.175088508664004,68.41724226203765,10.181818181818182,11.090909090909092,18.636363636363637,0.08487163890491826,0.03749743374911218,0.0010874704881147273
"(160, 160)",70.6944947384533,66.84340725563925,84.14863351536616,8.75,17.125,24.375,0.0954804122447967,0.043300211429595906,0.0013035833835601126
"(160, 80)",54.727207459186076,48.86024526791451,51.98111464384107,8.333333333333334,6.333333333333333,15.0,0.09031502405802404,0.030170758565266867,0.000757614771525
"(180, 100)",82.88558705713882,74.19357860124784,100.0672305375529,14.333333333333334,28.666666666666668,28.0,0.16517313321431476,0.043771823247273696,0.0014835993448893
"(180, 120)",70.0793586026962,60.516504294495505,79.15338574299054,24.5,25.25,21.75,0.133208155632019,0.15254634618759155,0.001044332981109575
"(180, 140)",68.5995429087088,57.644238284554014,73.15121917163621,9.0,12.142857142857142,20.857142857142858,0.03689367430550707,0.05512104715619764,0.001166377748761811
"(180, 180)",69.07736694078974,62.726659402887,85.06000258205609,15.0,16.0,23.75,0.17536586523056027,0.07982695102691646,0.00177073478698725
"(180, 40)",82.40866461474688,79.18376618407353,91.6949450039528,5.0,23.0,25.0,0.09357583522796631,0.06680893898010246,0.0043985843658447
"(180, 60)",56.52241173600598,50.01219330881973,58.37307606839013,17.0,4.0,16.0,0.0966577529907226,0.0165600776672363,0.0005455017089843
"(180, 80)",44.24440621468232,40.294083664636176,49.26054077803627,5.666666666666667,14.333333333333334,14.0,0.04651816685994462,0.0114026069641113,0.0006126562754313
"(20, 100)",84.16811511323475,85.98275605729681,94.56830045791158,18.0,24.0,28.0,0.1322243213653564,0.0554828643798828,0.0013000965118408
"(60, 80)",73.87065805942342,71.69848480983494,106.9755056233932,12.0,11.0,31.0,0.1054410934448242,0.0201005935668945,0.0014307498931884
"(80, 100)",75.48157425179647,67.35533905932733,128.3211344975283,33.0,7.0,37.0,0.0726041793823242,0.0231714248657226,0.0016577243804931
"(80, 140)",24.224014592354322,12.278174593052023,15.410441042058459,3.0,8.0,3.5,0.00035333633422845003,0.0010719299316406,0.00048446655273435
