start,goal,range,ASP_improve_path_turn,Astar_path_turn,RRTStar_path_turn
"(0, 0)","(20, 50)",20,4,7,11
"(0, 0)","(30, 40)",20,3,13,0
"(0, 0)","(30, 40)",20,2,6,0
"(0, 0)","(30, 40)",20,6,0,14
"(0, 0)","(30, 40)",20,1,24,11
"(0, 0)","(30, 40)",20,2,4,18
"(0, 0)","(30, 40)",20,1,10,20
"(0, 0)","(30, 40)",20,1,7,17
"(0, 0)","(30, 40)",20,14,12,13
"(0, 0)","(30, 40)",20,0,1,1
"(0, 0)","(30, 40)",20,12,41,31
"(0, 0)","(30, 40)",20,12,47,29
"(0, 0)","(30, 60)",20,4,0,26
"(0, 0)","(30, 90)",20,5,12,14
"(0, 0)","(40, 40)",20,1,8,8
"(0, 0)","(40, 40)",20,3,1,0
"(0, 0)","(40, 40)",20,3,8,18
"(0, 0)","(40, 40)",20,1,14,7
"(0, 0)","(40, 40)",20,5,5,11
"(0, 0)","(40, 50)",20,3,1,3
"(0, 0)","(40, 50)",20,3,7,0
"(0, 0)","(40, 50)",20,1,4,8
"(0, 0)","(40, 50)",20,2,5,9
"(0, 0)","(40, 70)",20,5,2,33
"(0, 0)","(40, 70)",20,5,9,19
"(0, 0)","(40, 70)",20,3,22,11
"(0, 0)","(40, 80)",20,3,3,0
"(0, 0)","(40, 80)",20,3,2,13
"(0, 0)","(40, 80)",20,4,5,20
"(0, 0)","(40, 80)",20,2,4,1
"(0, 0)","(40, 80)",20,0,9,7
"(0, 0)","(40, 80)",20,1,22,9
"(0, 0)","(40, 80)",20,0,1,5
"(0, 0)","(50, 20)",20,1,4,4
"(0, 0)","(50, 20)",20,1,2,4
"(0, 0)","(50, 20)",20,3,1,5
"(0, 0)","(50, 20)",20,1,0,0
"(0, 0)","(50, 20)",20,2,0,0
"(0, 0)","(50, 20)",20,3,0,0
"(0, 0)","(50, 20)",20,12,35,31
"(0, 0)","(50, 20)",20,2,9,7
"(0, 0)","(50, 20)",20,0,11,9
"(0, 0)","(50, 20)",20,10,9,0
"(0, 0)","(50, 20)",20,2,0,0
"(0, 0)","(50, 40)",20,8,7,20
"(0, 0)","(50, 40)",20,1,12,15
"(0, 0)","(50, 40)",20,7,13,14
"(0, 0)","(50, 40)",20,1,0,1
"(0, 0)","(50, 40)",20,1,0,0
"(0, 0)","(50, 40)",20,2,0,3
"(0, 0)","(50, 40)",20,18,4,25
"(0, 0)","(50, 40)",20,4,10,8
"(0, 0)","(50, 40)",20,5,11,32
"(0, 0)","(50, 40)",20,12,4,24
"(0, 0)","(50, 40)",20,0,1,0
"(0, 0)","(50, 50)",20,1,11,0
"(0, 0)","(50, 50)",20,4,0,0
"(0, 0)","(50, 50)",20,0,3,0
"(0, 0)","(50, 50)",20,0,4,3
"(0, 0)","(50, 50)",20,0,1,0
"(0, 0)","(50, 50)",20,2,0,6
"(0, 0)","(50, 50)",20,8,4,18
"(0, 0)","(50, 50)",20,3,7,12
"(0, 0)","(50, 50)",20,1,23,10
"(0, 0)","(50, 50)",20,4,8,9
"(0, 0)","(50, 50)",20,0,10,8
"(0, 0)","(60, 20)",20,1,13,10
"(0, 0)","(60, 20)",20,4,9,20
"(0, 0)","(60, 20)",20,6,21,21
"(0, 0)","(60, 20)",20,2,12,6
"(0, 0)","(60, 20)",20,6,40,45
"(0, 0)","(60, 20)",20,13,51,30
"(0, 0)","(60, 20)",20,1,5,4
"(0, 0)","(60, 20)",20,11,7,9
"(0, 0)","(60, 20)",20,4,15,17
"(0, 0)","(60, 20)",20,2,0,1
"(0, 0)","(60, 20)",20,1,9,16
"(0, 0)","(60, 30)",20,0,4,1
"(0, 0)","(60, 30)",20,1,12,13
"(0, 0)","(60, 30)",20,0,13,5
"(0, 0)","(60, 30)",20,0,1,7
"(0, 0)","(60, 30)",20,0,4,7
"(0, 0)","(60, 30)",20,5,0,1
"(0, 0)","(60, 30)",20,2,1,7
"(0, 0)","(60, 30)",20,4,1,10
"(0, 0)","(60, 30)",20,1,10,5
"(0, 0)","(60, 30)",20,2,13,0
"(0, 0)","(60, 30)",20,5,1,25
"(0, 0)","(60, 50)",20,3,11,13
"(0, 0)","(60, 50)",20,0,2,0
"(0, 0)","(60, 50)",20,4,13,9
"(0, 0)","(60, 50)",20,2,5,8
"(0, 0)","(60, 50)",20,2,0,5
"(0, 0)","(60, 50)",20,3,8,9
"(0, 0)","(60, 50)",20,0,1,0
"(0, 0)","(60, 50)",20,2,0,15
"(0, 0)","(60, 50)",20,4,17,19
"(0, 0)","(60, 50)",20,1,17,21
"(0, 0)","(60, 50)",20,12,0,22
"(0, 0)","(60, 60)",20,5,9,15
"(0, 0)","(60, 60)",20,3,10,7
"(0, 0)","(60, 60)",20,4,0,5
"(0, 0)","(60, 60)",20,0,18,7
"(0, 0)","(60, 60)",20,2,0,6
"(0, 0)","(60, 60)",20,2,0,13
"(0, 0)","(60, 60)",20,1,0,17
"(0, 0)","(60, 60)",20,3,10,13
"(0, 0)","(60, 70)",20,5,7,17
"(0, 0)","(60, 70)",20,4,6,20
"(0, 0)","(60, 70)",20,0,2,7
"(0, 0)","(60, 70)",20,1,1,7
"(0, 0)","(60, 70)",20,2,1,12
"(0, 0)","(60, 70)",20,2,3,5
