start,goal,range,ASP_improve_path_cost,Astar_path_cost,RRTStar_path_cost,ASP_improve_path_turn,Astar_path_turn,RRTStar_path_turn,ASP_improve_time,Astar_time,RRTStar_time
"(0, 0)","(20, 50)",20,33.32354660125915,34.041630560342625,40.644890186009725,4,7,11,0.0004639625549316,0.0033621788024902,0.0005745887756347
"(0, 0)","(30, 40)",20,50.74221315438653,42.426406871192846,54.4057432930285,6,0,14,0.0097594261169433,0.0010673999786376,0.0003890991210937
"(0, 0)","(30, 40)",20,39.14182759656286,41.4558441227157,42.51276923936479,1,24,11,0.0004084110260009,0.0123982429504394,0.0011053085327148
"(0, 0)","(30, 40)",20,50.96854516854873,53.183766184073534,65.40880287562365,2,4,18,0.0077626705169677,0.022857666015625,0.0022759437561035
"(0, 0)","(30, 40)",20,20.93289327278962,18.72792206135786,73.25943924773165,1,10,20,0.0020837783813476,0.0017454624176025,0.0016295909881591
"(0, 0)","(30, 40)",20,52.63921036529085,55.45584412271571,65.92814783790212,1,7,17,0.1170554161071777,0.0282995700836181,0.0012001991271972
"(0, 0)","(30, 40)",20,41.535441529680384,44.11269837220807,50.89804930036474,14,12,13,0.0842494964599609,0.0149335861206054,0.0028619766235351
"(0, 0)","(30, 40)",20,5.178357550430088,5.414213562373095,6.048895483132254,0,1,1,0.0002660751342773,0.0002162456512451,0.0002052783966064
"(0, 0)","(30, 40)",20,90.25113530393018,95.01219330881972,111.24029255967478,12,41,31,0.0921428203582763,0.1253538131713867,0.0035316944122314
"(0, 0)","(30, 40)",20,88.9650478827338,94.76955262170044,105.71987460680214,12,47,29,0.1030066013336181,0.1161580085754394,0.003833532333374
"(0, 0)","(30, 60)",20,49.340388282745245,31.0,91.212780080041,4,0,26,0.0109639167785644,0.000765323638916,0.0013830661773681
"(0, 0)","(30, 90)",20,49.35639678079728,29.899494936611667,50.35828580778029,5,12,14,0.0253577232360839,0.0052294731140136,0.0006430149078369
"(0, 0)","(40, 40)",20,27.961005135064816,28.38477631085024,29.951641745606505,1,8,8,0.0123608112335205,0.0036475658416748,0.0007326602935791
"(0, 0)","(40, 40)",20,59.361543814227005,47.69848480983497,64.83946765761684,3,8,18,0.0166478157043457,0.0096819400787353,0.0016415119171142
"(0, 0)","(40, 40)",20,21.093906138294383,21.72792206135786,26.356295335284308,1,14,7,0.0038151741027832,0.0030727386474609,0.0004744529724121
"(0, 0)","(40, 40)",20,26.330362143514908,20.48528137423857,41.2599660910432,5,5,11,0.0006537437438964,0.0029144287109375,0.0011649131774902
"(0, 0)","(40, 50)",20,31.639444465017043,12.071067811865476,18.139935157698083,3,1,3,0.0114150047302246,0.0003767013549804,0.0002622604370117
"(0, 0)","(40, 50)",20,24.08260296059228,24.21320343559644,29.54322366108004,1,4,8,0.0051875114440917,0.0023314952850341,0.0007109642028808
"(0, 0)","(40, 50)",20,28.125762941208816,29.14213562373096,36.15244937502571,2,5,9,0.00315523147583,0.0032932758331298,0.0009193420410156
"(0, 0)","(40, 70)",20,49.32071257442132,30.414213562373096,108.56254405765276,5,2,33,0.0274000167846679,0.0012946128845214,0.0009691715240478
"(0, 0)","(40, 70)",20,58.51577041598266,41.04163056034261,70.18152582428802,5,9,19,0.0102665424346923,0.0054185390472412,0.0008242130279541
"(0, 0)","(40, 70)",20,34.15971904575968,36.62741699796952,40.98173285576789,3,22,11,0.0710861682891845,0.0093545913696289,0.0010614395141601
"(0, 0)","(40, 80)",20,40.89405133072539,41.18376618407356,44.33526796479538,3,2,13,0.0037863254547119,0.0047526359558105,0.0010042190551757
"(0, 0)","(40, 80)",20,57.994944762461,52.66904755831211,67.86191544534661,4,5,20,0.1159060001373291,0.0781865119934082,0.000800609588623
"(0, 0)","(40, 80)",20,33.88617684614168,6.242640687119285,5.904827851122729,2,4,1,0.0038466453552246,0.0002429485321044,0.0001180171966552
"(0, 0)","(40, 80)",20,23.796959351299325,25.899494936611667,26.85127399983339,0,9,7,0.0609617233276367,0.0049445629119873,0.0008637905120849
"(0, 0)","(40, 80)",20,29.09551229477813,29.970562748477143,31.931690961750583,1,22,9,0.0007767677307128,0.005927562713623,0.0010786056518554
"(0, 0)","(40, 80)",20,18.93358376934667,19.414213562373096,22.54294892535924,0,1,5,0.0002543926239013,0.0008656978607177,0.000889778137207
"(0, 0)","(50, 20)",20,19.98522357169365,17.142135623730955,20.35942844788304,1,4,4,0.0022380352020263,0.0010619163513183,0.0002224445343017
"(0, 0)","(50, 20)",20,32.72896304490422,15.142135623730956,18.895758638617664,1,2,4,0.0002923011779785,0.0007064342498779,0.0002076625823974
"(0, 0)","(50, 20)",20,36.98773890360468,6.414213562373095,25.08194228306901,3,1,5,0.0004239082336425,0.0002708435058593,0.0005135536193847
"(0, 0)","(50, 20)",20,20.19440563448351,2.0,1.5636740803962028,1,0,0,0.0002598762512207,0.0001108646392822,5.316734313964844e-05
"(0, 0)","(50, 20)",20,13.74639780000005,1.4142135623730951,0.6872837163634059,2,0,0,0.0004341602325439,9.894371032714844e-05,5.650520324707031e-05
"(0, 0)","(50, 20)",20,41.91033872880724,1.4142135623730951,1.960068142063768,3,0,0,0.0117061138153076,9.65595245361328e-05,9.870529174804688e-05
