start,goal,range,[our]_reached_goal_global_pick,[our]_path_cost_global_pick,[our]_reached_goal_neighbor_pick, [our]_path_cost_neighbor_pick,[RRTX]_reached_goal,[RRTX]_path_cost
"(0, 0)","(20, 20)",10,True,125.80029548080019,True,130.78082381456656,False,544.2716450541701
"(0, 0)","(20, 20)",15,True,131.82497472197545,True,192.11390168028356,True,38.26539010254331
"(0, 0)","(20, 20)",20,True,35.38953213302602,True,35.38953213302602,True,30.973074899788973
"(0, 0)","(20, 20)",25,True,153.25718585639808,True,372.90493940283704,True,35.60301808809953
"(0, 0)","(20, 20)",30,True,106.43335359229592,True,269.3123692361119,True,31.123640608562457
"(0, 0)","(20, 30)",10,True,43.76893335256816,True,43.76893335256816,True,40.51112321503909
"(0, 0)","(20, 30)",15,True,37.86877459298689,True,37.86877459298689,True,42.97559112125373
"(0, 0)","(20, 30)",20,True,43.22843345299124,True,43.22843345299124,True,43.04374898304506
"(0, 0)","(20, 30)",25,False,6329.402088606846,False,4135.8001069084,True,40.47143234456415
"(0, 0)","(20, 30)",30,True,114.62978953000028,True,322.6286664837354,True,37.905569663860966
"(0, 0)","(20, 50)",10,True,87.10305954054947,True,87.10305954054947,True,58.84786976731447
"(0, 0)","(20, 50)",15,True,109.04037131831171,True,109.04037131831171,False,175.83661834336442
"(0, 0)","(20, 50)",20,True,119.65686037724784,True,119.65686037724784,True,73.70721145258324
"(0, 0)","(20, 50)",25,True,78.82040207203389,True,78.82040207203389,True,94.4833039360746
"(0, 0)","(20, 50)",30,False,5127.002781978011,False,4733.552850541496,True,85.14880887003682
"(0, 0)","(20, 60)",10,True,126.55265373095733,True,126.55265373095733,True,190.90463808321664
"(0, 0)","(20, 60)",15,True,81.60968701633408,True,81.60968701633408,True,93.75080599476374
"(0, 0)","(20, 60)",20,True,99.23114630346885,True,99.23114630346885,True,464.78454864369616
"(0, 0)","(20, 60)",25,True,88.21988456931187,True,88.21988456931187,True,104.04854261585723
"(0, 0)","(20, 60)",30,True,97.38649570629364,True,97.38649570629364,True,81.53054049052639
"(0, 0)","(30, 40)",10,True,62.54146514858863,True,62.54146514858863,True,51.60441705727925
"(0, 0)","(30, 40)",15,True,51.767128766960084,True,51.767128766960084,False,432.7651164263557
"(0, 0)","(30, 40)",20,False,4760.6289626769785,False,3963.8624296453518,True,58.08989654267683
"(0, 0)","(30, 40)",25,False,6108.631340006198,False,5602.53250791516,True,57.462354807688165
"(0, 0)","(30, 40)",30,True,161.79076452998245,True,717.751264465789,True,52.997600472606095
"(0, 0)","(30, 60)",10,True,211.62420488903388,True,211.62420488903388,True,257.85650819837554
"(0, 0)","(30, 60)",15,True,140.26306916197987,True,140.26306916197987,False,141.59569333779422
"(0, 0)","(30, 60)",20,True,200.71636134566825,True,200.71636134566825,True,90.75978671969303
"(0, 0)","(30, 60)",25,True,127.96604808302236,True,127.96604808302236,True,110.41564729596277
