start,goal,range,[our]_reached_goal_global_pick,[our]_path_cost_global_pick,[our]_reached_goal_neighbor_pick,[our]_path_cost_neighbor_pick,[RRTX]_reached_goal,[RRTX]_path_cost
"(0, 0)","(100, 140)",10,False,621.8626426527602,0,0.0,0,0.0
"(0, 0)","(100, 140)",15,True,756.2026990432945,0,0.0,0,0.0
"(0, 0)","(100, 140)",20,True,692.5929866822769,0,0.0,0,0.0
"(0, 0)","(100, 140)",25,True,719.3259118454748,0,0.0,0,0.0
"(0, 0)","(100, 140)",30,True,528.8781482142076,0,0.0,0,0.0
"(0, 0)","(100, 140)",10,True,1067.5718335725978,1,872.315274285415,0,566.4286748914736
"(0, 0)","(100, 140)",15,False,8331.663262037679,0,4848.169651038819,0,568.156364066798
"(0, 0)","(100, 140)",20,True,728.364214422058,1,707.190534188447,0,554.5619064042045
"(0, 0)","(100, 140)",25,True,719.3259118454546,1,719.3259118454546,0,547.482857123586
"(0, 0)","(100, 140)",30,True,528.8781482142076,1,528.8781482142076,1,506.11318165562
"(0, 0)","(100, 40)",10,True,297.864083724944,0,0.0,0,0.0
"(0, 0)","(100, 40)",15,True,271.3165888423075,0,0.0,0,0.0
"(0, 0)","(100, 40)",20,True,116.07813541755316,0,0.0,0,0.0
"(0, 0)","(100, 40)",25,True,253.03521018605932,0,0.0,0,0.0
"(0, 0)","(100, 40)",30,True,216.4416254888498,0,0.0,0,0.0
"(0, 0)","(100, 40)",10,True,331.49239802546634,1,399.54235746183,1,120.85203342475144
"(0, 0)","(100, 40)",15,True,118.15732623752974,1,118.15732623752974,1,122.81327428403644
"(0, 0)","(100, 40)",20,True,229.6930005530483,1,229.6930005530483,1,242.53147386701227
"(0, 0)","(100, 40)",25,True,259.85406700257977,1,259.85406700257977,1,116.6582346502596
"(0, 0)","(100, 40)",30,True,286.6111777174963,1,286.6111777174963,1,206.89959078760648
"(0, 0)","(100, 80)",10,True,416.2862144995414,0,0.0,0,0.0
"(0, 0)","(100, 80)",15,False,1838.9816182711188,0,0.0,0,0.0
"(0, 0)","(100, 80)",20,False,2302.069958961535,0,0.0,0,0.0
"(0, 0)","(100, 80)",25,True,372.441772452703,0,0.0,0,0.0
"(0, 0)","(100, 80)",30,False,3227.824472257401,0,0.0,0,0.0
"(0, 0)","(100, 80)",10,True,374.7601233831488,1,327.8988648676876,1,300.2068794954425
"(0, 0)","(100, 80)",15,True,5908.866156103838,1,3654.751702579238,0,558.7893290691522
"(0, 0)","(100, 80)",20,True,277.90639841680064,1,277.90639841680064,1,277.9153909072545
"(0, 0)","(100, 80)",25,True,2719.6717523057528,1,3230.5281966292146,1,261.82159059244424
"(0, 0)","(100, 80)",30,True,1003.7280153706608,1,1667.562338467743,1,250.4875488248076
"(0, 0)","(120, 120)",10,False,689.8609532401628,0,0.0,0,0.0
"(0, 0)","(120, 120)",15,False,967.7913491948476,0,0.0,0,0.0
"(0, 0)","(120, 120)",20,False,1583.1431957174736,0,0.0,0,0.0
"(0, 0)","(120, 120)",25,False,2125.652033473395,0,0.0,0,0.0
"(0, 0)","(120, 120)",30,False,2327.536437673424,0,0.0,0,0.0
"(0, 0)","(120, 120)",10,False,4963.0745280316405,1,564.2927375177036,0,560.1361761994348
"(0, 0)","(120, 120)",15,True,3370.563054028315,1,508.0551007922933,0,575.2390362724756
"(0, 0)","(120, 120)",20,True,11693.516262143015,1,709.7024927352414,0,575.9013995678432
"(0, 0)","(120, 120)",25,True,2592.826129143536,1,2074.3679598034373,0,602.3892206026854
