start,goal,range,[our]_reached_goal_global_pick,[our]_path_cost_global_pick,[our]_reached_goal_neighbor_pick,[our]_path_cost_neighbor_pick,[RRTX]_reached_goal,[RRTX]_path_cost
"(0, 0)","(100, 140)",10,False,621.8626426527602,False,614.691705615459,0,0
"(0, 0)","(100, 140)",15,True,756.2026990432954,True,782.7407029239033,0,0
"(0, 0)","(100, 140)",20,True,692.5929866822769,True,692.5929866822769,0,0
"(0, 0)","(100, 140)",25,True,719.3259118454748,True,719.3259118454748,0,0
"(0, 0)","(100, 140)",30,True,528.8781482142076,True,528.8781482142076,0,0
"(0, 0)","(100, 40)",10,True,297.86408372494395,True,139.21256565664947,0,0
"(0, 0)","(100, 40)",15,True,271.3165888423075,True,271.3165888423075,0,0
"(0, 0)","(100, 40)",20,True,116.07813541755316,True,116.07813541755316,0,0
"(0, 0)","(100, 40)",25,True,253.0352101860594,True,253.0352101860594,0,0
"(0, 0)","(100, 40)",30,True,216.4416254888498,True,216.4416254888498,0,0
"(0, 0)","(100, 80)",10,True,416.28621449954153,False,515.2041386937861,0,0
"(0, 0)","(100, 80)",15,False,1838.9816182711188,False,710.0527371074002,0,0
"(0, 0)","(100, 80)",20,False,2302.069958961535,True,390.54699611516,0,0
"(0, 0)","(100, 80)",25,True,372.4417724527029,False,2703.569495788292,0,0
"(0, 0)","(100, 80)",30,False,3227.824472257401,False,2503.0867091798686,0,0
"(0, 0)","(120, 120)",10,False,689.8609532401629,False,548.4116207873425,0,0
"(0, 0)","(120, 120)",15,False,967.7913491948476,True,508.05510079229344,0,0
"(0, 0)","(120, 120)",20,False,1583.1431957174746,True,709.7024927352434,0,0
"(0, 0)","(120, 120)",25,False,2125.652033473395,False,1950.0826583837131,0,0
"(0, 0)","(120, 120)",30,False,2327.536437673424,True,685.3884831327457,0,0
"(0, 0)","(120, 160)",10,False,736.3406419770691,False,658.2453365587866,0,0
"(0, 0)","(120, 160)",15,False,979.8483756322258,False,831.3771843690461,0,0
"(0, 0)","(120, 160)",20,True,725.6104392700286,True,725.6104392700286,0,0
"(0, 0)","(120, 160)",25,True,685.771171451879,True,737.9638597167086,0,0
"(0, 0)","(120, 160)",30,True,784.4808540601226,False,2580.715057409992,0,0
"(0, 0)","(120, 60)",10,True,400.139685458247,True,163.6836864848283,0,0
"(0, 0)","(120, 60)",15,True,284.0644762238496,True,284.0644762238496,0,0
"(0, 0)","(120, 60)",20,True,289.9341807456201,True,289.9341807456201,0,0
"(0, 0)","(120, 60)",25,True,262.6027811872403,True,262.6027811872403,0,0
"(0, 0)","(120, 60)",30,True,250.57085941001597,True,250.57085941001597,0,0
"(0, 0)","(140, 100)",10,True,527.6412384598366,True,423.6637076450629,0,0
"(0, 0)","(140, 100)",15,False,1011.005091231676,True,365.3300849180085,0,0
"(0, 0)","(140, 100)",20,False,2138.0905528135486,False,1586.6824920562992,0,0
"(0, 0)","(140, 100)",25,True,352.6722340387418,True,352.6722340387418,0,0
"(0, 0)","(140, 100)",30,True,341.08630899876584,True,341.08630899876584,0,0
"(0, 0)","(140, 140)",10,False,783.4051856071495,False,486.03362032764807,0,0
"(0, 0)","(140, 140)",15,False,1046.9319726196818,True,522.7153987812848,0,0
"(0, 0)","(140, 140)",20,False,1602.1691597917977,False,1262.4322670796205,0,0
"(0, 0)","(140, 140)",25,True,1549.6816756822875,False,1690.929854880968,0,0
"(0, 0)","(140, 140)",30,True,448.0011994904621,True,448.0011994904621,0,0
"(0, 0)","(140, 20)",10,True,145.26614959998145,True,145.26614959998145,0,0
"(0, 0)","(140, 20)",15,True,161.07459007731504,True,161.07459007731504,0,0
"(0, 0)","(140, 20)",20,True,148.5585613397058,True,148.5585613397058,0,0
"(0, 0)","(140, 20)",25,True,163.95828554499155,True,163.95828554499155,0,0
"(0, 0)","(140, 20)",30,True,154.05435578511407,True,154.05435578511407,0,0
"(0, 0)","(160, 120)",10,True,503.93086119351904,False,646.1319196265341,0,0
"(0, 0)","(160, 120)",15,True,415.4720406826913,True,384.8026854123164,0,0
"(0, 0)","(160, 120)",20,False,1586.3245587855058,True,383.4847298298179,0,0
"(0, 0)","(160, 120)",25,False,2858.4494745089983,True,1516.7169565919428,0,0
"(0, 0)","(160, 120)",30,True,387.4819694893099,True,387.4819694893099,0,0
"(0, 0)","(160, 160)",10,False,676.8878382794896,False,467.5228136528226,0,0
"(0, 0)","(160, 160)",15,False,1067.943776280135,False,895.9054574613382,0,0
"(0, 0)","(160, 160)",20,False,1336.604260214905,False,1280.4254788316573,0,0
"(0, 0)","(160, 160)",25,True,1459.782424626559,True,863.7971564160414,0,0
"(0, 0)","(160, 160)",30,True,503.7271734746397,True,503.7271734746397,0,0
"(0, 0)","(160, 20)",10,True,173.59485603955912,True,173.59485603955912,0,0
"(0, 0)","(160, 20)",15,True,166.643742673673,True,166.643742673673,0,0
"(0, 0)","(160, 20)",20,True,178.60212289781447,True,178.60212289781447,0,0
"(0, 0)","(160, 20)",25,True,175.32445262464253,True,175.32445262464253,0,0
"(0, 0)","(160, 20)",30,True,182.11469914380933,True,182.11469914380933,0,0
"(0, 0)","(160, 40)",10,False,1197.87873710616,False,645.3608688007773,0,0
"(0, 0)","(160, 40)",15,True,692.525531494942,True,576.4826812275272,0,0
"(0, 0)","(160, 40)",20,True,184.0561356242182,True,184.0561356242182,0,0
"(0, 0)","(160, 40)",25,True,180.1803973488668,True,180.1803973488668,0,0
"(0, 0)","(160, 40)",30,True,186.4544608962605,True,186.4544608962605,0,0
"(0, 0)","(160, 80)",10,False,1101.2387769345428,False,913.5227367754636,0,0
"(0, 0)","(160, 80)",15,True,775.5049065111197,True,682.3035702357228,0,0
"(0, 0)","(160, 80)",20,True,706.977427335165,True,982.440619052424,0,0
"(0, 0)","(160, 80)",25,True,693.1954510942238,True,574.1619249781587,0,0
"(0, 0)","(160, 80)",30,True,379.1109500202982,True,379.1109500202982,0,0
"(0, 0)","(180, 100)",10,False,526.5874830689735,False,643.0715323881906,0,0
"(0, 0)","(180, 100)",15,True,604.7045533140524,True,604.7045533140524,0,0
"(0, 0)","(180, 100)",20,True,714.5575264811031,True,714.5575264811031,0,0
"(0, 0)","(180, 100)",25,True,738.7185038175966,True,738.7185038175966,0,0
"(0, 0)","(180, 100)",30,True,814.1848016308245,True,814.1848016308245,0,0
"(0, 0)","(180, 120)",10,False,637.9931895906195,False,543.9009268171857,0,0
"(0, 0)","(180, 120)",15,True,844.2426507373112,False,1099.0589442066191,0,0
"(0, 0)","(180, 120)",20,True,798.1677210883748,True,798.1677210883748,0,0
"(0, 0)","(180, 120)",25,True,848.455337797117,True,1284.5390610487602,0,0
"(0, 0)","(180, 120)",30,True,687.0911761714312,True,687.0911761714312,0,0
"(0, 0)","(180, 140)",10,False,563.5885490298951,False,606.8774226137402,0,0
"(0, 0)","(180, 140)",15,False,1033.716741909706,False,816.231669639393,0,0
"(0, 0)","(180, 140)",20,False,1231.917077496939,False,1299.544201955991,0,0
"(0, 0)","(180, 140)",25,True,1341.9261803727973,True,1326.121162900034,0,0
"(0, 0)","(180, 140)",30,True,1638.2340495426818,True,1696.3747521245584,0,0
"(0, 0)","(180, 180)",10,False,712.5795885618411,False,590.8272508918162,0,0
"(0, 0)","(180, 180)",15,False,907.941503095577,False,1081.3389353745804,0,0
"(0, 0)","(180, 180)",20,True,883.5972057361585,True,822.9335524549533,0,0
"(0, 0)","(180, 180)",25,True,1093.002210431287,True,1388.988593917892,0,0
"(0, 0)","(180, 180)",30,True,960.5393685029449,True,1145.2994000037536,0,0
"(0, 0)","(180, 20)",10,True,185.95657806342484,True,185.95657806342484,0,0
"(0, 0)","(180, 20)",15,True,191.8835440308089,True,191.8835440308089,0,0
"(0, 0)","(180, 20)",20,True,187.20028132141968,True,187.20028132141968,0,0
"(0, 0)","(180, 20)",25,True,185.84358233941845,True,185.84358233941845,0,0
"(0, 0)","(180, 20)",30,True,191.47444704993777,True,191.47444704993777,0,0
"(0, 0)","(180, 40)",10,False,920.8591410899336,False,656.491844403547,0,0
"(0, 0)","(180, 40)",15,True,211.26994462950236,True,211.26994462950236,0,0
"(0, 0)","(180, 40)",20,True,483.7025084637565,True,496.039788767204,0,0
"(0, 0)","(180, 40)",25,True,430.2091942041305,True,430.2091942041305,0,0
"(0, 0)","(180, 40)",30,True,360.5434803670074,True,360.5434803670074,0,0
"(0, 0)","(180, 60)",10,False,701.4650966399236,False,463.4589097434296,0,0
"(0, 0)","(180, 60)",15,True,499.3914600814154,True,499.3914600814154,0,0
"(0, 0)","(180, 60)",20,True,525.2597695843771,True,525.2597695843771,0,0
"(0, 0)","(180, 60)",25,True,513.1401519430333,True,513.1401519430333,0,0
"(0, 0)","(180, 60)",30,True,479.458213039595,True,479.458213039595,0,0
"(0, 0)","(180, 80)",10,False,1206.7827313795483,False,522.3799715618625,0,0
"(0, 0)","(180, 80)",15,True,665.2506384309285,True,514.6297877509448,0,0
"(0, 0)","(180, 80)",20,True,616.5621324571,True,616.5621324571,0,0
"(0, 0)","(180, 80)",25,True,454.8172036155236,True,454.8172036155236,0,0
"(0, 0)","(180, 80)",30,True,622.4056064144155,True,622.4056064144155,0,0
"(0, 0)","(20, 100)",10,True,111.24725689973516,True,111.24725689973516,0,0
"(0, 0)","(20, 100)",15,True,268.48397161056107,True,352.4587102587147,0,0
"(0, 0)","(20, 100)",20,True,267.9705350860737,True,334.07303825735085,0,0
"(0, 0)","(20, 100)",25,True,106.49294124651108,True,106.49294124651108,0,0
"(0, 0)","(20, 100)",30,True,175.80420038792124,True,288.4796106003604,0,0
"(0, 0)","(20, 20)",10,True,28.343868794509348,True,28.343868794509348,0,0
"(0, 0)","(20, 20)",15,True,28.312439195889663,True,28.312439195889663,0,0
"(0, 0)","(20, 20)",20,True,28.28431544094965,True,28.28431544094965,0,0
