start,goal,range,[our]_reached_goal_global_pick_improved,[our]_path_cost_global_pick_improved,[our]_reached_goal_neighbor_pick_improved,[our]_path_cost_neighbor_pick_improved,[RRTX]_reached_goal,[RRTX]_path_cost
"(0, 0)","(20, 20)",10,True,124.99412912371834,True,132.20163260851243,True,125.0977540200048
"(0, 0)","(20, 20)",15,True,133.28196198655414,True,193.83688564648696,True,34.74992674600224
"(0, 0)","(20, 20)",20,True,35.389532133026016,True,35.389532133026016,True,44.30410529311819
"(0, 0)","(20, 20)",25,False,3620.3108121878727,False,3394.9167812917017,True,41.80396240109636
"(0, 0)","(20, 20)",30,True,106.43335359229566,True,267.3281790154218,True,33.362904997103136
"(0, 0)","(20, 30)",10,True,43.76893335256816,True,43.76893335256816,True,38.28477466502039
"(0, 0)","(20, 30)",15,True,37.86877459298689,True,37.86877459298689,True,42.396244480908834
"(0, 0)","(20, 30)",20,True,43.22843345299124,True,43.22843345299124,True,37.20417629031036
"(0, 0)","(20, 30)",25,False,3274.1438313269687,False,2840.1009681182813,True,37.32456976404433
"(0, 0)","(20, 30)",30,True,114.62978953000018,False,2528.342387511547,True,41.74729182688958
"(0, 0)","(20, 50)",10,True,87.10305954054947,True,87.10305954054947,True,61.62039712306965
"(0, 0)","(20, 50)",15,True,112.78011504979068,True,112.78011504979068,True,61.12393064076578
"(0, 0)","(20, 50)",20,True,119.65686037724784,True,119.65686037724784,True,113.22217790567518
"(0, 0)","(20, 50)",25,True,78.8204020720339,True,78.8204020720339,False,93.99274598812192
"(0, 0)","(20, 50)",30,False,3767.162832573022,False,3284.4553593088235,True,94.37033373753076
"(0, 0)","(20, 60)",10,True,126.55265373095732,True,126.55265373095732,True,108.04169354247446
"(0, 0)","(20, 60)",15,True,81.60968701633408,True,81.60968701633408,True,116.36418648292702
"(0, 0)","(20, 60)",20,True,99.23114630346883,True,99.23114630346883,True,79.50240831837752
"(0, 0)","(20, 60)",25,True,88.21988456931187,True,88.21988456931187,True,127.58256347012724
"(0, 0)","(20, 60)",30,True,97.38649570629364,True,97.38649570629364,True,78.96531917753789
