start,goal,range,[our]_reached_goal_global_pick,[our]_path_cost_global_pick,[our]_reached_goal_neighbor_pick,[our]_path_cost_neighbor_pick,[RRTX]_reached_goal,[RRTX]_path_cost
"(0, 0)","(20, 20)",10,True,125.80029548080014,True,130.78082381456653,0,0
"(0, 0)","(20, 20)",15,True,131.82497472197542,True,192.1139016802836,0,0
"(0, 0)","(20, 20)",20,True,35.389532133026016,True,35.389532133026016,0,0
"(0, 0)","(20, 20)",25,True,153.25718585639808,True,372.904939402837,0,0
"(0, 0)","(20, 20)",30,True,106.43335359229566,True,269.312369236112,0,0
"(0, 0)","(20, 30)",10,True,43.76893335256816,True,43.76893335256816,0,0
"(0, 0)","(20, 30)",15,True,37.86877459298689,True,37.86877459298689,0,0
"(0, 0)","(20, 30)",20,True,43.22843345299124,True,43.22843345299124,0,0
"(0, 0)","(20, 30)",25,False,4144.77207101013,False,3565.6906245803043,0,0
"(0, 0)","(20, 30)",30,True,114.62978953000018,True,322.6286664837354,0,0
"(0, 0)","(20, 50)",10,True,87.10305954054947,True,87.10305954054947,0,0
"(0, 0)","(20, 50)",15,True,109.04037131831171,True,109.04037131831171,0,0
"(0, 0)","(20, 50)",20,True,119.65686037724784,True,119.65686037724784,0,0
"(0, 0)","(20, 50)",25,True,78.8204020720339,True,78.8204020720339,0,0
"(0, 0)","(20, 50)",30,False,5127.00278197801,False,4733.552850541496,0,0
"(0, 0)","(20, 60)",10,True,126.55265373095732,True,126.55265373095732,0,0
"(0, 0)","(20, 60)",15,True,81.60968701633408,True,81.60968701633408,0,0
"(0, 0)","(20, 60)",20,True,99.23114630346883,True,99.23114630346883,0,0
"(0, 0)","(20, 60)",25,True,88.21988456931187,True,88.21988456931187,0,0
"(0, 0)","(20, 60)",30,True,97.38649570629364,True,97.38649570629364,0,0
"(0, 0)","(30, 40)",10,True,62.54146514858863,True,62.54146514858863,0,0
"(0, 0)","(30, 40)",15,True,51.76712876696009,True,51.76712876696009,0,0
"(0, 0)","(30, 40)",20,False,2000.8400415403016,False,1718.6074935800143,0,0
"(0, 0)","(30, 40)",25,False,3892.875286764524,False,3287.1224357893734,0,0
"(0, 0)","(30, 40)",30,True,161.79076452998245,True,717.751264465789,0,0
"(0, 0)","(30, 60)",10,True,211.62420488903388,True,211.62420488903388,0,0
"(0, 0)","(30, 60)",15,True,140.26306916197987,True,140.26306916197987,0,0
"(0, 0)","(30, 60)",20,True,200.7163613456682,True,200.7163613456682,0,0
"(0, 0)","(30, 60)",25,True,127.96604808302236,True,127.96604808302236,0,0
"(0, 0)","(30, 60)",30,True,101.17801666353822,True,101.17801666353822,0,0
"(0, 0)","(30, 90)",10,True,403.7153965906088,True,365.2082449589852,0,0
"(0, 0)","(30, 90)",15,True,218.5933188397327,True,218.5933188397327,0,0
"(0, 0)","(30, 90)",20,True,221.95684449268077,True,221.95684449268077,0,0
"(0, 0)","(30, 90)",25,True,204.4854492560761,True,204.4854492560761,0,0
"(0, 0)","(30, 90)",30,True,270.29399660969364,True,198.1493801158961,0,0
"(0, 0)","(40, 40)",10,True,457.9776661955915,True,457.9776661955915,0,0
"(0, 0)","(40, 40)",15,True,435.466464327581,True,482.0152895023408,0,0
"(0, 0)","(40, 40)",20,True,285.4461821661957,True,324.0559432634659,0,0
"(0, 0)","(40, 40)",25,False,3823.754627565731,False,4023.5971332849017,0,0
"(0, 0)","(40, 40)",30,True,459.2842795629971,True,621.4683279708016,0,0
"(0, 0)","(40, 50)",10,True,457.4302249086834,True,475.4507530639904,0,0
"(0, 0)","(40, 50)",15,True,478.3641546300198,True,526.6377785026389,0,0
"(0, 0)","(40, 50)",20,True,301.6155900794264,True,301.6155900794264,0,0
"(0, 0)","(40, 50)",25,True,121.26495322745998,True,121.26495322745998,0,0
"(0, 0)","(40, 50)",30,True,197.4099323133001,True,820.1512448570182,0,0
"(0, 0)","(40, 70)",10,True,578.0890006620114,True,464.01413782450834,0,0
"(0, 0)","(40, 70)",15,True,292.63493029495686,True,288.6627482468724,0,0
"(0, 0)","(40, 70)",20,True,380.220688478965,True,380.220688478965,0,0
"(0, 0)","(40, 70)",25,True,348.96722586751645,True,352.1168988307082,0,0
"(0, 0)","(40, 70)",30,True,459.2603534437332,True,574.7564065539117,0,0
"(0, 0)","(40, 80)",10,True,560.4356025948222,True,473.9212880270586,0,0
"(0, 0)","(40, 80)",15,True,441.7754029853885,True,396.4435699602992,0,0
"(0, 0)","(40, 80)",20,True,451.39671118723135,True,460.5339533862704,0,0
"(0, 0)","(40, 80)",25,True,308.1126428155603,True,192.2617809273437,0,0
"(0, 0)","(40, 80)",30,True,363.0103612477419,True,439.2393058789049,0,0
"(0, 0)","(50, 20)",10,False,2100.9348593862496,False,1477.912127488773,0,0
"(0, 0)","(50, 20)",15,False,3197.320103345668,False,1846.2963791899183,0,0
"(0, 0)","(50, 20)",20,False,4003.300903568044,False,1999.3582996655527,0,0
"(0, 0)","(50, 20)",25,False,4945.996771893235,False,3280.7005832820964,0,0
"(0, 0)","(50, 20)",30,False,4728.231687367089,False,4097.24180656343,0,0
"(0, 0)","(50, 40)",10,False,886.3907920902055,False,862.8459549651097,0,0
"(0, 0)","(50, 40)",15,False,1821.5954542600311,True,567.4435618421559,0,0
"(0, 0)","(50, 40)",20,False,2056.1548066814053,True,1574.285819884577,0,0
"(0, 0)","(50, 40)",25,True,2878.36889408114,False,4322.583390464662,0,0
"(0, 0)","(50, 40)",30,False,4898.853115963069,False,4445.683198464649,0,0
"(0, 0)","(50, 50)",10,False,913.6425822044508,True,548.7615029941638,0,0
"(0, 0)","(50, 50)",15,True,1213.8787491947464,True,769.2666040150177,0,0
"(0, 0)","(50, 50)",20,True,1683.6815929336738,True,619.0838875806438,0,0
"(0, 0)","(50, 50)",25,True,1032.0283500992682,False,4238.054915467511,0,0
"(0, 0)","(50, 50)",30,True,1060.4936456644732,True,1271.1450282787584,0,0
"(0, 0)","(60, 20)",10,False,1449.9143228748014,False,1256.554092548272,0,0
"(0, 0)","(60, 20)",15,False,2687.610064928072,False,1549.4489938605932,0,0
"(0, 0)","(60, 20)",20,True,3206.9756838784124,True,613.8573226915215,0,0
"(0, 0)","(60, 20)",25,False,3254.061523198266,False,2827.768807050112,0,0
"(0, 0)","(60, 20)",30,False,4421.501397484155,False,4805.846243508764,0,0
"(0, 0)","(60, 30)",10,False,1682.9863614562423,False,1137.2675825328488,0,0
"(0, 0)","(60, 30)",15,False,2179.8341352536263,False,1673.6225227428738,0,0
"(0, 0)","(60, 30)",20,True,2307.125732411773,True,1114.2735293477506,0,0
"(0, 0)","(60, 30)",25,True,1713.329215480257,False,4079.446081120824,0,0
"(0, 0)","(60, 30)",30,False,3705.1256620053086,False,3494.510273916095,0,0
"(0, 0)","(60, 50)",10,False,1258.742021399044,True,602.5928819551312,0,0
"(0, 0)","(60, 50)",15,True,761.3670245596236,True,476.4625426429852,0,0
"(0, 0)","(60, 50)",20,True,1610.08790915618,True,570.7504508812702,0,0
"(0, 0)","(60, 50)",25,False,4572.303766260458,False,4410.560903535697,0,0
"(0, 0)","(60, 50)",30,False,4156.747512598039,True,362.52274675277545,0,0
"(0, 0)","(60, 60)",10,True,505.4577688471644,True,556.2890489794954,0,0
"(0, 0)","(60, 60)",15,True,723.1510894418238,True,410.3459875063997,0,0
"(0, 0)","(60, 60)",20,True,605.716186271184,True,425.0442512329748,0,0
"(0, 0)","(60, 60)",25,True,456.1090035558229,True,456.1090035558229,0,0
"(0, 0)","(60, 60)",30,True,496.5201359400899,True,311.19296000531546,0,0
"(0, 0)","(60, 70)",10,False,605.947206148701,True,506.5507296506846,0,0
"(0, 0)","(60, 70)",15,True,427.4420931687815,True,427.4420931687815,0,0
"(0, 0)","(60, 70)",20,True,1000.0644520478704,True,1110.571343232363,0,0
"(0, 0)","(60, 70)",25,True,351.22371367914326,True,351.22371367914326,0,0
"(0, 0)","(60, 70)",30,True,240.07335124488785,True,299.70353503924895,0,0
"(0, 0)","(60, 80)",10,True,578.2183834105307,True,581.6036190512806,0,0
"(0, 0)","(60, 80)",15,True,446.1586385689272,True,366.7037222266339,0,0
"(0, 0)","(60, 80)",20,True,369.42073038380346,True,369.42073038380346,0,0
"(0, 0)","(60, 80)",25,True,254.11970558272853,True,304.73093128601835,0,0
"(0, 0)","(60, 80)",30,True,329.5605639404108,True,329.5605639404108,0,0
"(0, 0)","(60, 90)",10,True,401.1177303581837,True,401.1177303581837,0,0
"(0, 0)","(60, 90)",15,True,336.3027504623444,True,336.3027504623444,0,0
"(0, 0)","(60, 90)",20,True,262.7845588237177,True,262.7845588237177,0,0
