start,goal,range,reached_goal_ranking_function_1,cost_ranking_function_1,reached_goal_ranking_function_RRT,cost_ranking_function_RRT
"(0, 0)","(50, 50)",20,True,915.3891269856965,False,2488.4926005576945
"(0, 0)","(50, 50)",25,True,775.9712454304074,False,2693.274089739702
"(0, 0)","(50, 50)",30,True,771.5705470225178,False,2938.6766897358902
"(0, 0)","(50, 50)",35,True,921.94578170031,True,2283.9311287181813
"(0, 0)","(50, 50)",40,True,581.6013001861422,False,1923.904772356479
"(0, 0)","(50, 50)",45,True,649.5471368509853,False,2436.789770185604
"(0, 0)","(50, 50)",50,False,22058.567990881755,False,2255.8647263107496
"(0, 0)","(50, 50)",55,False,22132.74586023037,False,1856.4710918498486
"(0, 0)","(50, 50)",60,False,27482.50951281212,False,1905.0060648998692
"(0, 0)","(50, 50)",65,True,505.60696105105256,False,1796.0324608168803
"(0, 0)","(50, 50)",70,True,507.3043457203223,False,1908.495679685909
"(0, 0)","(50, 50)",75,False,31058.34314273287,False,2136.052888341414
"(0, 0)","(45, 65)",20,True,448.46065680524464,False,1505.094382886507
"(0, 0)","(45, 65)",25,False,10862.16905059205,False,2619.3611043449955
"(0, 0)","(45, 65)",30,False,13934.43177726818,False,2151.0462755556628
"(0, 0)","(45, 65)",35,True,663.2445556207116,False,1909.504195885583
"(0, 0)","(45, 65)",40,False,17990.187864323485,False,2185.778187272863
"(0, 0)","(45, 65)",45,False,19590.071533116185,False,1710.7500841019296
"(0, 0)","(45, 65)",50,False,22959.308339849937,False,2198.0323514405613
"(0, 0)","(45, 65)",55,True,221.7448831606519,False,1715.8876434142032
"(0, 0)","(45, 65)",60,False,26354.42616536794,False,2498.633014825354
"(0, 0)","(45, 65)",65,False,26695.513389054933,True,233.1184636543524
"(0, 0)","(45, 65)",70,False,30342.030489968827,False,1739.4147176866152
"(0, 0)","(45, 65)",75,False,30699.844831033515,False,1707.714391477607
"(0, 0)","(100, 100)",20,True,592.6280705899975,False,2293.93452074818
"(0, 0)","(100, 100)",25,True,485.83350253449834,False,2532.9230876886927
"(0, 0)","(100, 100)",30,True,511.04706926530946,True,264.3862859354817
"(0, 0)","(100, 100)",35,True,640.813646110718,True,1291.7462919361362
"(0, 0)","(100, 100)",40,True,416.22687047216647,False,2070.072220538416
"(0, 0)","(100, 100)",45,True,216.5454485915753,True,1493.955804357476
"(0, 0)","(100, 100)",50,True,222.53741209274676,False,1688.9218136193576
"(0, 0)","(100, 100)",55,True,234.02661497829305,False,2312.5821587138093
"(0, 0)","(100, 100)",60,True,228.02579243821233,False,1648.1737549972272
"(0, 0)","(100, 100)",65,True,232.810568160612,True,316.5716059110168
"(0, 0)","(100, 100)",70,True,241.4507149164706,True,994.1477575456192
"(0, 0)","(100, 100)",75,True,250.08967507544128,False,2194.7571313302046
