start,goal,range,global_reached_goal,global_cost,local_reached_goal,local_cost
"(0, 0)","(50, 50)",20,True,89.16395743849752,True,89.16395743849752
"(0, 0)","(50, 50)",25,True,70.83643805102727,True,70.83643805102727
"(0, 0)","(50, 50)",30,True,70.84985875890257,True,70.84985875890257
"(0, 0)","(50, 50)",35,True,71.45348854149944,True,71.45348854149944
"(0, 0)","(50, 50)",40,True,70.95270170575215,True,70.95270170575215
"(0, 0)","(50, 50)",45,True,70.77899741810458,True,70.77899741810458
"(0, 0)","(50, 50)",50,True,70.71183552544036,True,70.71183552544036
"(0, 0)","(50, 50)",55,True,70.72050136546642,True,70.72050136546642
"(0, 0)","(50, 50)",60,True,70.74672215410817,True,70.74672215410817
"(0, 0)","(50, 50)",65,True,70.86991906728133,True,70.86991906728133
"(0, 0)","(50, 50)",70,True,71.57829747592561,True,71.57829747592561
"(0, 0)","(50, 50)",75,True,70.71067811865476,True,70.71067811865476
"(0, 0)","(50, 30)",20,False,8025.572024631283,False,3016.773120782241
"(0, 0)","(50, 30)",25,True,681.3874787090489,True,601.1437726374734
"(0, 0)","(50, 30)",30,False,13879.815290814924,False,4255.531915909495
"(0, 0)","(50, 30)",35,False,14615.354609589509,False,7615.910835946951
"(0, 0)","(50, 30)",40,False,17821.419741059017,False,4388.517827012555
"(0, 0)","(50, 30)",45,False,18807.949156780276,False,4685.2818417363
"(0, 0)","(50, 30)",50,True,357.9682073811866,True,346.1781512305109
"(0, 0)","(50, 30)",55,True,195.0456746664704,True,306.5593868831417
"(0, 0)","(50, 30)",60,False,24120.08604750514,False,6538.222154217102
"(0, 0)","(50, 30)",65,False,26218.324588094707,False,6592.241031709124
"(0, 0)","(50, 30)",70,False,29241.65112180141,False,7413.9012832630915
"(0, 0)","(50, 30)",75,True,955.8336118436586,False,7544.110030114612
"(0, 0)","(100, 100)",20,True,2193.7214950223643,True,1166.1092020781805
"(0, 0)","(100, 100)",25,True,2009.048110865859,True,1128.8037269850547
"(0, 0)","(100, 100)",30,True,568.8278731127044,True,310.3923411277945
"(0, 0)","(100, 100)",35,True,829.5097776406311,True,790.2001906993391
"(0, 0)","(100, 100)",40,True,869.8381552535724,True,776.3584287133571
"(0, 0)","(100, 100)",45,True,828.9921712724027,True,752.9144698275574
"(0, 0)","(100, 100)",50,True,938.8787700497,True,938.8787700497
"(0, 0)","(100, 100)",55,True,912.5499741191103,True,912.5499741191103
"(0, 0)","(100, 100)",60,True,925.7531421972955,True,925.7531421972955
"(0, 0)","(100, 100)",65,True,922.9107346279792,True,922.9107346279792
"(0, 0)","(100, 100)",70,True,384.2878810740439,True,384.2878810740439
"(0, 0)","(100, 100)",75,True,402.5863087341201,True,402.5863087341201
