start,goal,range,reached_goal_ranking_function_1,cost_ranking_function_1,reached_goal_ranking_function_RRT,cost_ranking_function_RRT
"(0, 0)","(60, 90)",20,True,279.4214633853027,True,2505.9991616095235
"(0, 0)","(60, 90)",25,True,167.30263276948696,True,1868.4013458124562
"(0, 0)","(60, 90)",30,True,171.90588369653466,False,2467.5589421049144
"(0, 0)","(60, 90)",35,True,178.27331170363047,True,1925.8407021893554
"(0, 0)","(60, 90)",40,True,156.56125433720052,True,1559.9738926483426
"(0, 0)","(60, 90)",45,True,170.60891817632856,False,2189.641669808345
"(0, 0)","(60, 90)",50,False,19927.680647788693,False,1946.2675593123643
"(0, 0)","(60, 90)",55,False,23423.361517300164,False,2430.6255416601753
"(0, 0)","(60, 90)",60,True,155.90009917174936,True,160.14479093651363
"(0, 0)","(60, 90)",65,True,165.60733586450527,False,1959.5835113647263
"(0, 0)","(60, 90)",70,False,26785.583694737074,False,1710.7809207814435
"(0, 0)","(60, 90)",75,False,29058.055414239745,False,1621.7859582665164
"(0, 0)","(20, 60)",20,True,126.01281641810412,True,1996.5957835401605
"(0, 0)","(20, 60)",25,True,128.0836189976702,True,734.6128240577534
"(0, 0)","(20, 60)",30,False,13665.142412942238,True,1318.2865830825242
"(0, 0)","(20, 60)",35,True,117.66599869506157,True,1868.4359883546367
"(0, 0)","(20, 60)",40,True,989.5717563731445,True,2988.8305182915647
"(0, 0)","(20, 60)",45,True,1030.2365130428711,False,2595.744380053403
"(0, 0)","(20, 60)",50,False,21399.461134414603,False,2324.6338452591667
"(0, 0)","(20, 60)",55,False,22294.411415572693,False,1769.2302295572226
"(0, 0)","(20, 60)",60,False,25084.919867745422,False,2182.738930299135
"(0, 0)","(20, 60)",65,False,27325.919167105538,False,2214.496439332632
"(0, 0)","(20, 60)",70,False,27726.173176475073,False,2113.7813357832165
"(0, 0)","(20, 60)",75,False,29275.73357120644,False,1497.5046766404976
"(0, 0)","(60, 70)",20,True,136.9156279987085,True,1272.573609799647
"(0, 0)","(60, 70)",25,True,125.84909016922948,True,826.468542401607
"(0, 0)","(60, 70)",30,True,103.33926728919006,True,1399.202209214841
"(0, 0)","(60, 70)",35,True,125.51566555926937,True,923.428059786724
"(0, 0)","(60, 70)",40,True,153.5791590783491,True,1065.808942210615
"(0, 0)","(60, 70)",45,True,103.20359317815473,False,1603.108889845187
"(0, 0)","(60, 70)",50,True,116.38857048873291,True,119.36718688353903
"(0, 0)","(60, 70)",55,True,133.8154484008459,True,115.05314859135257
"(0, 0)","(60, 70)",60,True,153.20721895596864,True,400.37407680499285
"(0, 0)","(60, 70)",65,False,26534.889809889926,True,149.58660715038016
"(0, 0)","(60, 70)",70,False,29423.78552357943,True,125.40747930711727
"(0, 0)","(60, 70)",75,False,29527.866420822695,True,126.51099845546801
"(0, 0)","(70, 40)",20,True,1560.9951326308312,False,2951.3851918882197
"(0, 0)","(70, 40)",25,False,11713.700030978125,False,4013.587093368953
"(0, 0)","(70, 40)",30,False,14264.183722694303,False,2273.6844555453454
"(0, 0)","(70, 40)",35,False,15860.634528625176,False,3849.5239851912206
"(0, 0)","(70, 40)",40,True,1334.9339819388438,False,2016.4734243444268
"(0, 0)","(70, 40)",45,False,19503.212013281656,False,1458.5788860189525
"(0, 0)","(70, 40)",50,True,851.7866931365068,False,1824.8944219832524
"(0, 0)","(70, 40)",55,True,847.3541239174662,False,1597.0480246635766
"(0, 0)","(70, 40)",60,True,932.6384076378748,False,2254.89016085602
"(0, 0)","(70, 40)",65,False,26072.2042739991,False,1878.8527310327675
"(0, 0)","(70, 40)",70,False,28279.27972312094,False,2412.3586757031435
"(0, 0)","(70, 40)",75,False,30802.96549861948,False,2073.4086788761997
"(0, 0)","(30, 50)",20,True,700.3620025579366,True,300.68981649906135
"(0, 0)","(30, 50)",25,False,10603.944264367708,True,498.12159281125247
"(0, 0)","(30, 50)",30,True,351.6926384656831,True,483.7479022023908
"(0, 0)","(30, 50)",35,False,15617.055687847833,False,2555.0030042228022
"(0, 0)","(30, 50)",40,False,17095.287125185736,True,436.5481567946898
"(0, 0)","(30, 50)",45,False,19639.493895164764,False,1531.4060667973501
"(0, 0)","(30, 50)",50,True,221.93967208330872,True,218.66920864989902
"(0, 0)","(30, 50)",55,True,211.42787834126895,False,1472.9235217669438
"(0, 0)","(30, 50)",60,True,234.26935977616887,False,1969.3469422298062
"(0, 0)","(30, 50)",65,True,256.7639269990008,False,2364.2323314324212
"(0, 0)","(30, 50)",70,False,28541.45594655811,False,1995.727151391924
"(0, 0)","(30, 50)",75,False,30596.734134128874,False,2384.375343503377
