coordinate_x,coordinate_y,cost,parent_coordinate_x,parent_coordinate_y
20,20,0,,
14.9691236526,15.3829217563,6.828405987584265,20,20
0.7821024325,2.968754755,25.680013702464542,14.9691236526,15.3829217563
-8.7518589508,-5.0488631457,38.13708464469975,0.7821024325,2.968754755
39.9828327934,20.8284887148,19.999999999988336,20,20
59.5685200293,21.2759821093,39.59079872899929,39.9828327934,20.8284887148
70.8244929604,21.5011973211,50.84902454469876,59.5685200293,21.2759821093
86.9574016188,21.7906008399,66.9845287567453,70.8244929604,21.5011973211
91.0331658125,22.1152849107,71.07320501055634,86.9574016188,21.7906008399
104.8475913511,22.3082786938,84.88897858867489,91.0331658125,22.1152849107
99.6197785204,22.394536079,79.66129989813616,86.9574016188,21.7906008399
89.9802756108,22.4826742264,70.02993447788502,70.8244929604,21.5011973211
86.5883051066,22.4917842366,66.64392992009886,70.8244929604,21.5011973211
57.6393286184,21.1583076865,37.65957602469334,39.9828327934,20.8284887148
70.8870139088,21.3809495137,50.90913205260233,57.6393286184,21.1583076865
81.0037840571,21.4829513592,61.026416402170625,70.8870139088,21.3809495137
87.8983441325,21.7116644086,67.9236766636543,70.8870139088,21.3809495137
96.1107284818,21.7136840337,76.13606126129177,87.8983441325,21.7116644086
108.4328169764,22.1132556405,88.46462656053542,96.1107284818,21.7136840337
55.5172051572,21.8493638582,35.56788074193922,39.9828327934,20.8284887148
71.5557345511,22.3113175884,51.61306152520994,55.5172051572,21.8493638582
84.8131998729,22.6679868511,64.87532376517808,71.5557345511,22.3113175884
103.1468946443,23.4177332011,83.22434236455277,84.8131998729,22.6679868511
94.9331795891,23.4042877838,75.02205370737101,84.8131998729,22.6679868511
101.885715518,23.6231287931,81.97453680500982,84.8131998729,22.6679868511
107.5387130545,23.8815792004,87.63343932764693,101.885715518,23.6231287931
86.1398994028,23.3476962584,66.23400353211198,71.5557345511,22.3113175884
101.4525481864,23.9646045308,81.5590741220454,86.1398994028,23.3476962584
106.4928705719,24.2648940863,86.6083338268848,101.4525481864,23.9646045308
80.0131226445,22.9846838945,60.097213547927055,71.5557345511,22.3113175884
98.4754523163,23.7835013562,78.57681652654495,80.0131226445,22.9846838945
49.8763389835,21.2157727373,29.901083458258483,39.9828327934,20.8284887148
59.2214147959,22.3821966699,39.301218766601444,39.9828327934,20.8284887148
18.0347435821,30.3208942875,10.506335787602037,20,20
14.0892253563,9.9700479559,11.642044274763458,20,20
14.6161166369,30.1862270426,11.521519927112937,20,20
9.0122159527,41.7931212527,24.410418098905204,14.6161166369,30.1862270426
3.6403477482,52.7297700359,36.59513207230599,9.0122159527,41.7931212527
-3.9783719204,69.0325444015,54.59027979063209,3.6403477482,52.7297700359
-8.9133488861,79.8820013426,66.50937009017981,-3.9783719204,69.0325444015
-4.7009608771,67.8569143442,53.86961974941634,3.6403477482,52.7297700359
-9.0049907408,76.2418465889,63.29468005775554,-4.7009608771,67.8569143442
-2.2972898304,64.5928150052,49.861155438727316,3.6403477482,52.7297700359
-3.5107251009,66.8962607106,52.46419949700039,3.6403477482,52.7297700359
-5.4765355652,70.0661046651,56.18252750216726,3.6403477482,52.7297700359
-8.9474372192,76.3434512105,63.35554903725171,-5.4765355652,70.0661046651
7.0362907638,46.4983928024,29.508751844273164,14.6161166369,30.1862270426
-1.1804805395,64.4792799902,49.27811285344907,7.0362907638,46.4983928024
0.9175593338,59.7888619074,44.140069055769516,7.0362907638,46.4983928024
-4.3708570294,70.4721336175,56.06062449846532,0.9175593338,59.7888619074
-6.3620676295,75.089482506,61.08415237199253,0.9175593338,59.7888619074
-4.7779308382,71.2756737434,56.96135816626923,0.9175593338,59.7888619074
-2.6107491677,67.4603902283,52.5840792203849,0.9175593338,59.7888619074
-8.5075640711,80.1161064881,66.54615571543127,-2.6107491677,67.4603902283
8.2190859361,42.4626880571,25.364695026327574,14.6161166369,30.1862270426
4.3893785359,49.7730105274,33.61742023627608,8.2190859361,42.4626880571
-4.1429622825,66.7735994014,52.63900959952613,4.3893785359,49.7730105274
-1.2805061537,59.7250419879,45.068276251698684,8.2190859361,42.4626880571
-7.8127707162,72.6904473296,59.5862725318014,-1.2805061537,59.7250419879
-9.698771738,75.6204795642,63.055275200657896,-1.2805061537,59.7250419879
-6.5909617479,68.9597588727,55.72101930503383,-1.2805061537,59.7250419879
-6.049411382,69.9590365515,56.35885204765796,-1.2805061537,59.7250419879
-7.4457226535,71.7931788937,58.620022370429595,-1.2805061537,59.7250419879
-6.449407742,67.6911502131,54.564403035031425,-1.2805061537,59.7250419879
-5.0159982127,66.5852152707,52.879542371406494,-1.2805061537,59.7250419879
9.6471592316,39.8936062597,22.426736521031224,14.6161166369,30.1862270426
15.5766226818,22.3558061746,5.011595517542265,20,20
21.0652223801,33.5882571084,13.629946073372743,20,20
15.3275705756,15.2811645868,6.64070812360168,20,20
4.1284205235,4.287900733,22.33378978555441,15.3275705756,15.2811645868
-4.0487082684,-4.717420335,34.49772183144667,4.1284205235,4.287900733
-6.7591670116,-5.5555882093,37.01145434404761,4.1284205235,4.287900733
-6.953472282,-5.178073294,36.90818556831094,4.1284205235,4.287900733
-9.1782676075,-9.1983154654,41.27965942422982,4.1284205235,4.287900733
-5.5882973426,-5.1617119514,35.887748099440444,4.1284205235,4.287900733
-3.0770534192,-3.6981373532,33.08998144678682,4.1284205235,4.287900733
-8.8198609976,-7.6256366996,39.92897004912719,4.1284205235,4.287900733
-2.2819892969,-1.5535958963,31.006530813372777,4.1284205235,4.287900733
-7.423673774,-7.4443336647,38.79878922742829,4.1284205235,4.287900733
22.9931928876,33.846490085,14.166315376144304,20,20
25.511595703,45.1874605824,25.78354243614067,22.9931928876,33.846490085
27.9402962694,64.8981791908,45.64332628442959,25.511595703,45.1874605824
28.4544878514,59.7809774462,40.67083059252192,25.511595703,45.1874605824
28.1467735984,58.2322481014,39.09183473666755,25.511595703,45.1874605824
30.5898557408,69.4360720627,50.558932089978626,28.1467735984,58.2322481014
34.2540949622,85.465504466,67.00184400495311,30.5898557408,69.4360720627
37.0244674511,100.0272610224,81.82478965469198,34.2540949622,85.465504466
36.5230130775,99.3940769768,81.11400619232008,34.2540949622,85.465504466
39.462476083,104.7100794347,86.93876702796298,34.2540949622,85.465504466
28.7298284578,59.8396482471,40.784996546514584,25.511595703,45.1874605824
30.0650155514,66.3866407245,47.466750438573776,28.7298284578,59.8396482471
34.3676402616,84.6545159636,66.23448458918841,30.0650155514,66.3866407245
15.4167675173,36.4023674427,17.03066873953637,20,20
29.0138147398,26.0805527595,10.872993057318617,20,20
38.6998438737,33.5396610856,23.098272498020734,29.0138147398,26.0805527595
41.8671129771,34.622395903,26.305762085109357,29.0138147398,26.0805527595
48.2628593821,38.7465967838,33.91592666823513,41.8671129771,34.622395903
49.6495951346,40.5387909291,36.08179188440246,41.8671129771,34.622395903
64.1759750644,50.7712546941,53.850276022531254,49.6495951346,40.5387909291
73.0719423925,56.8225832672,64.60931000343489,64.1759750644,50.7712546941
78.0763976496,60.3695466097,70.74255105416066,64.1759750644,50.7712546941
54.5714762667,43.0868858506,41.571686120920546,41.8671129771,34.622395903
68.3127234019,52.8944691667,58.45394199307475,54.5714762667,43.0868858506
71.8013773074,55.2692473345,62.674164430176845,68.3127234019,52.8944691667
86.2140820099,63.879376003,79.46286219175416,71.8013773074,55.2692473345
99.1487624861,71.9023189034,94.68368910110662,86.2140820099,63.879376003
106.264609642,76.1938064199,102.99345118256271,99.1487624861,71.9023189034
102.9000656954,74.2587287666,99.11363864827167,86.2140820099,63.879376003
96.2125883077,70.2144473936,91.29938438837699,86.2140820099,63.879376003
99.7975359234,71.8368132195,95.2055121362431,86.2140820099,63.879376003
104.4649523636,74.5778545226,100.61828255919191,99.7975359234,71.8368132195
108.782803576,77.4361683954,105.79266535014995,99.7975359234,71.8368132195
92.7717753767,68.1348561376,87.28030764848413,86.2140820099,63.879376003
86.6829708044,65.3036291427,80.62271989524666,71.8013773074,55.2692473345
92.1793035704,69.0549269009,87.27718521901848,86.6829708044,65.3036291427
105.6010560482,78.2215804564,103.53052262959022,92.1793035704,69.0549269009
109.8818966455,80.8594438871,108.55883444356083,105.6010560482,78.2215804564
87.9840891714,66.0515271164,82.11992799369925,71.8013773074,55.2692473345
100.4351415014,74.2194257422,97.01097470256911,87.9840891714,66.0515271164
104.142814257,76.7534592408,101.50125270557751,87.9840891714,66.0515271164
73.8641433867,56.9207378017,65.31171881714985,68.3127234019,52.8944691667
79.1227075568,60.4021226798,71.61527242361831,68.3127234019,52.8944691667
93.2510008138,70.5215679178,88.99376034059983,79.1227075568,60.4021226798
107.6794889943,81.6559336248,107.21889054238565,93.2510008138,70.5215679178
102.6276052272,77.4502292745,100.65253637075068,93.2510008138,70.5215679178
99.8965049297,75.7018834313,97.4198148012506,93.2510008138,70.5215679178
105.8429824579,79.9523680472,104.72582927021116,93.2510008138,70.5215679178
