start,goal,range,our_reached,our_cost,rrtreeX_reached,rrtreeX__cost
"(0, 0)","(99, 99)",20,False,1129.8008971869103,True,141.466096729613
"(0, 0)","(99, 99)",25,False,513.4452106575224,True,140.939550977152
"(0, 0)","(99, 99)",30,False,3935.6563420800485,True,141.31918982266836
"(0, 0)","(99, 99)",35,False,4512.667062411891,True,141.69391826311443
"(0, 0)","(99, 99)",40,False,4827.872521642573,True,142.34000255003394
"(0, 0)","(99, 99)",45,False,2664.394817883947,True,143.79493867855854
"(0, 0)","(99, 99)",50,False,5211.340196498262,True,143.14216783726152
"(0, 0)","(99, 99)",55,False,3965.8593613278713,True,146.6526282112677
"(0, 0)","(99, 99)",60,False,5661.14844344551,True,143.58373351630345
"(0, 0)","(99, 99)",65,False,5255.4749385941095,True,142.26493794611852
"(0, 0)","(99, 99)",70,False,3583.148805454254,True,148.63719277522438
"(0, 0)","(99, 99)",75,False,4097.982321398774,True,147.0976673252131
