start,goal,range,our_global_reached,our_global_cost,our_lobal_reached,our_lobal_cost,rrtreeX_reached,rrtreeX__cost
"(0, 0)","(99, 99)",20,True,495.8197789009785,True,491.40812232769383,True,311.18235059336035
"(0, 0)","(99, 99)",25,True,356.15854084075914,True,356.15854084075914,True,309.55099658613227
"(0, 0)","(99, 99)",30,True,544.7011512594557,True,544.7011512594557,True,253.19623197583738
"(0, 0)","(99, 99)",35,True,338.8432833116385,True,338.8432833116385,True,261.32666363631995
"(0, 0)","(99, 99)",40,True,271.2226867507228,True,271.2226867507228,True,200.69278633012615
"(0, 0)","(99, 99)",45,True,917.53015326928,True,784.5719442182591,True,194.14510513419236
"(0, 0)","(99, 99)",50,True,548.1434285333318,True,436.5734366934459,True,180.71144311033186
"(0, 0)","(99, 99)",55,True,408.49738317086087,True,263.3523411696855,True,188.36707945866345
"(0, 0)","(99, 99)",60,True,816.9609350896693,True,759.9431167841921,True,182.27862819521943
"(0, 0)","(99, 99)",65,True,222.4570555234185,True,222.4570555234185,True,226.49045570765534
"(0, 0)","(99, 99)",70,True,189.0694907932624,True,189.0694907932624,True,279.7164072863009
"(0, 0)","(99, 99)",75,True,260.1287624517152,True,260.1287624517152,True,199.75185462376808
