coordinate_x,coordinate_y,cost,parent_coordinate_x,parent_coordinate_y
200.0,200.0,0,,
185.59235921,186.1284504519,19.999999999976623,200.0,200.0
170.9691931632,172.4842936525,39.999999999949054,185.59235921,186.1284504519
154.650395487,160.921558578,59.99999999994464,170.9691931632,172.4842936525
138.789087619,151.9759775692,78.21001117150854,154.650395487,160.921558578
137.4318598435,152.3132090279,79.25049743983399,154.650395487,160.921558578
139.3988712479,152.3052913488,77.5171074261392,154.650395487,160.921558578
140.3273933905,151.0497342178,77.39543920839758,154.650395487,160.921558578
136.5133429547,147.886896373,82.3502877388095,140.3273933905,151.0497342178
131.4310758766,144.131904232,88.66490401470303,140.3273933905,151.0497342178
119.2770597997,136.3928055796,103.07371224956837,131.4310758766,144.131904232
114.7551616145,132.7617727428,108.8730193339738,119.2770597997,136.3928055796
97.0976788478,125.5186600079,127.95833776848723,114.7551616145,132.7617727428
102.3967003299,124.803940857,123.57195309277454,114.7551616145,132.7617727428
91.8884929871,117.9941822485,136.09374345459244,102.3967003299,124.803940857
97.5726254801,129.8478984163,126.30087667791018,114.7551616145,132.7617727428
94.0240275528,128.6478723183,130.0468892093253,97.5726254801,129.8478984163
104.4093291268,127.3826814396,120.45852609326835,119.2770597997,136.3928055796
90.5568898368,120.9429567366,135.7346554634185,104.4093291268,127.3826814396
84.2943110707,117.6153547269,142.8263991091354,90.5568898368,120.9429567366
94.6633029687,126.4575500837,130.248362348285,104.4093291268,127.3826814396
89.4774574381,120.6556760286,136.83574789452095,104.4093291268,127.3826814396
75.2892736515,117.4841052627,151.37409100112876,89.4774574381,120.6556760286
63.3432798703,112.4858412395,164.32358561157918,75.2892736515,117.4841052627
58.8441799359,107.1360164725,170.8040691000544,75.2892736515,117.4841052627
59.0589108871,107.4133205592,170.4750171569012,75.2892736515,117.4841052627
102.5973081495,126.0938526252,122.67683820104087,119.2770597997,136.3928055796
98.2817810723,122.8201411666,128.09356790338114,102.5973081495,126.0938526252
83.700338627,110.7359833802,147.03150161306047,98.2817810723,122.8201411666
73.3943049384,102.6523253605,160.12958763240002,83.700338627,110.7359833802
85.9380900239,111.4373987485,144.88444440388471,98.2817810723,122.8201411666
92.6241051422,120.021155362,134.35341433770415,102.5973081495,126.0938526252
93.1638257701,119.9531629658,133.93288809856318,102.5973081495,126.0938526252
93.4844522761,120.5532057208,133.3418703289155,102.5973081495,126.0938526252
77.4742484669,111.622348913,151.67454141999085,93.4844522761,120.5532057208
64.1664263918,104.3377569894,166.84567874966712,77.4742484669,111.622348913
46.5586916068,95.168084305,186.6980141638679,64.1664263918,104.3377569894
58.484564173,101.0917428827,173.38939068207384,64.1664263918,104.3377569894
46.7486915236,93.2625487003,187.4970832073829,58.484564173,101.0917428827
37.0130635804,81.7424365054,202.5800350547999,46.7486915236,93.2625487003
37.1316522486,84.7360795684,200.3496362718186,46.7486915236,93.2625487003
30.0093585253,80.1724470774,208.80858475220725,37.1316522486,84.7360795684
24.7306907684,75.2509741551,215.96216554592462,37.1316522486,84.7360795684
8.8196556076,64.500771274,235.16445452075845,24.7306907684,75.2509741551
-4.4242131932,56.3233366888,250.72949538829326,8.8196556076,64.500771274
-4.3857893263,56.0338028862,251.02156766769608,-4.4242131932,56.3233366888
-8.8237871926,51.7234457391,257.09465431210094,-4.4242131932,56.3233366888
33.6106314762,84.45623947,203.3135209880197,46.7486915236,93.2625487003
26.2075995025,77.8113424554,213.26136189639095,33.6106314762,84.45623947
18.1547226146,74.7376635669,221.57100811857524,33.6106314762,84.45623947
4.9570762237,67.2036725304,236.76768180715914,18.1547226146,74.7376635669
-7.8997640558,60.9508686134,251.06439117669674,4.9570762237,67.2036725304
-8.829688785,58.2461284594,253.20886440419338,4.9570762237,67.2036725304
-5.3384235671,63.3019900608,247.7776973401158,4.9570762237,67.2036725304
2.3825174946,63.8768397461,240.72094149741002,18.1547226146,74.7376635669
-4.4770715013,56.5595492174,250.7507322167658,2.3825174946,63.8768397461
14.3722284603,71.6972021263,226.42401417658598,18.1547226146,74.7376635669
13.2417155073,70.7657080868,227.88884887119312,14.3722284603,71.6972021263
18.3252729899,72.4785341667,222.73277968621423,33.6106314762,84.45623947
25.1024111227,79.9553138444,212.9389116331257,33.6106314762,84.45623947
45.9573315409,93.1588109868,188.21716751758558,58.484564173,101.0917428827
80.856244769,113.6777792133,147.72043473925947,93.4844522761,120.5532057208
65.2237316825,106.0720772296,165.1049729288247,80.856244769,113.6777792133
61.3711735237,104.3891350761,169.30907790598258,65.2237316825,106.0720772296
48.9248043322,97.8198372938,183.37392190593803,65.2237316825,106.0720772296
40.5629123794,93.3117215942,192.87362422713113,48.9248043322,97.8198372938
36.9046673122,93.0633125949,196.30095641470376,48.9248043322,97.8198372938
33.2246639059,88.6875621796,201.53687480922378,48.9248043322,97.8198372938
65.2623907342,107.2914500248,164.57135412552844,80.856244769,113.6777792133
57.62624411,104.8646635171,172.5838461236671,65.2623907342,107.2914500248
43.6682465965,98.9635103668,187.73803046628902,57.62624411,104.8646635171
79.5284354018,111.7820248206,149.8253172190468,93.4844522761,120.5532057208
64.410351345,101.2063077386,168.27531064308295,79.5284354018,111.7820248206
67.1099855211,104.1620800518,164.3951990208673,79.5284354018,111.7820248206
72.1938896094,106.4637955585,158.88507022147846,79.5284354018,111.7820248206
60.6461302615,97.2458819497,173.66074879325012,72.1938896094,106.4637955585
59.8207525836,96.4124691988,174.82632743188765,72.1938896094,106.4637955585
44.134812164,86.6778550837,193.2874064582378,59.8207525836,96.4124691988
55.2614457449,91.6014884156,181.45451081391144,59.8207525836,96.4124691988
44.5528197432,89.2264218641,191.70083629927439,59.8207525836,96.4124691988
92.2363232562,119.0502545848,135.2052970573375,102.5973081495,126.0938526252
160.5010519681,163.9596396819,53.50006316272783,170.9691931632,172.4842936525
146.2743563589,152.7787756264,71.59455373263341,160.5010519681,163.9596396819
139.2662649428,148.1415535937,79.99795622668147,146.2743563589,152.7787756264
138.697109697,146.1298008057,81.67540355502327,146.2743563589,152.7787756264
139.0658246997,145.9516589384,81.52291970862652,146.2743563589,152.7787756264
135.5023464672,142.7975248399,86.27997386179177,146.2743563589,152.7787756264
121.3424118957,128.995479991,106.05369857617495,135.5023464672,142.7975248399
109.1460622109,113.5644290755,125.72266596113633,121.3424118957,128.995479991
97.8648849329,102.7468831668,141.35226161375945,109.1460622109,113.5644290755
86.4803250915,96.3409993671,154.41532212949144,97.8648849329,102.7468831668
72.646512604,88.2106934744,170.46138837166382,86.4803250915,96.3409993671
59.1349014462,79.1569238124,186.72590131156267,72.646512604,88.2106934744
55.4560343758,76.0099874328,191.5671068947747,59.1349014462,79.1569238124
64.1477212069,81.381549369,181.36398734730903,72.646512604,88.2106934744
56.7611314089,71.1673405105,193.96921528848398,64.1477212069,81.381549369
58.2954126082,74.3790705134,190.4900065264223,64.1477212069,81.381549369
45.8572312658,58.8464789892,210.38899530887244,58.2954126082,74.3790705134
57.8516470973,73.9188083656,191.12785197548794,64.1477212069,81.381549369
56.3523544777,73.065371787,192.76252023615388,64.1477212069,81.381549369
43.7991335101,59.5001052663,211.2449392455535,56.3523544777,73.065371787
31.7637958736,52.8403152533,225.0000166732457,43.7991335101,59.5001052663
19.5815691345,38.0151553929,244.1883468040637,31.7637958736,52.8403152533
16.4344479038,35.407805831,248.2752336117283,19.5815691345,38.0151553929
13.8285648947,33.2868871271,251.63506276323176,19.5815691345,38.0151553929
36.6101296265,54.7237672109,219.87599839596362,43.7991335101,59.5001052663
32.0843186653,44.2851617212,230.4473191482772,43.7991335101,59.5001052663
40.4250291674,55.4280904048,216.5332173346581,43.7991335101,59.5001052663
32.0993824703,44.2159388847,230.49305386423063,43.7991335101,59.5001052663
56.573788428,74.9730476171,191.28534574439365,64.1477212069,81.381549369
54.2913467688,73.2154873827,194.16370161865606,64.1477212069,81.381549369
63.401517182,82.9648033368,181.0910310603232,72.646512604,88.2106934744
96.1180406842,101.0003539415,143.82198442545857,109.1460622109,113.5644290755
87.0033892943,91.5219678723,156.97176284321947,96.1180406842,101.0003539415
81.998576181,90.3050698242,161.53492828600568,96.1180406842,101.0003539415
81.2342651683,88.0663085215,163.54040993396018,96.1180406842,101.0003539415
